prec_id,Verla Insko,election
orange_BC,433,nc_house_of_representatives_district_56
orange_BP,230,nc_house_of_representatives_district_56
orange_CB,464,nc_house_of_representatives_district_56
orange_CC,202,nc_house_of_representatives_district_56
orange_CF,529,nc_house_of_representatives_district_56
orange_CH,412,nc_house_of_representatives_district_56
orange_CO,554,nc_house_of_representatives_district_56
orange_EA,213,nc_house_of_representatives_district_56
orange_EH,570,nc_house_of_representatives_district_56
orange_ES,460,nc_house_of_representatives_district_56
orange_GL,508,nc_house_of_representatives_district_56
orange_GR,320,nc_house_of_representatives_district_56
orange_LC,641,nc_house_of_representatives_district_56
orange_LI,247,nc_house_of_representatives_district_56
orange_MF,246,nc_house_of_representatives_district_56
orange_NC,641,nc_house_of_representatives_district_56
orange_NS,309,nc_house_of_representatives_district_56
orange_OW,546,nc_house_of_representatives_district_56
orange_PA,737,nc_house_of_representatives_district_56
orange_RF,565,nc_house_of_representatives_district_56
orange_TH,592,nc_house_of_representatives_district_56
orange_WD,623,nc_house_of_representatives_district_56
orange_WDS,330,nc_house_of_representatives_district_56
orange_WW,289,nc_house_of_representatives_district_56
