prec_id,Alma Adams,Darin H. Thomas,election
guilford_FEN1,1121,474,nc_house_of_representatives_district_58
guilford_FEN2,234,762,nc_house_of_representatives_district_58
guilford_G03,756,26,nc_house_of_representatives_district_58
guilford_G04,535,44,nc_house_of_representatives_district_58
guilford_G05,642,15,nc_house_of_representatives_district_58
guilford_G06,704,21,nc_house_of_representatives_district_58
guilford_G46,74,5,nc_house_of_representatives_district_58
guilford_G52,9,0,nc_house_of_representatives_district_58
guilford_G53,17,0,nc_house_of_representatives_district_58
guilford_G67,291,9,nc_house_of_representatives_district_58
guilford_G68,538,10,nc_house_of_representatives_district_58
guilford_G69,822,60,nc_house_of_representatives_district_58
guilford_G70,652,12,nc_house_of_representatives_district_58
guilford_G71,716,11,nc_house_of_representatives_district_58
guilford_G72,683,49,nc_house_of_representatives_district_58
guilford_G73,680,7,nc_house_of_representatives_district_58
guilford_G74,1044,19,nc_house_of_representatives_district_58
guilford_G75,725,42,nc_house_of_representatives_district_58
guilford_GIB,309,491,nc_house_of_representatives_district_58
guilford_GR,171,814,nc_house_of_representatives_district_58
guilford_JEF1,383,673,nc_house_of_representatives_district_58
guilford_JEF2,396,452,nc_house_of_representatives_district_58
guilford_JEF3,1378,285,nc_house_of_representatives_district_58
guilford_JEF4,294,449,nc_house_of_representatives_district_58
guilford_NCLAY1,334,882,nc_house_of_representatives_district_58
guilford_NCLAY2,144,474,nc_house_of_representatives_district_58
guilford_PG1,79,188,nc_house_of_representatives_district_58
guilford_RC1,551,653,nc_house_of_representatives_district_58
guilford_RC2,514,755,nc_house_of_representatives_district_58
guilford_SCLAY,173,709,nc_house_of_representatives_district_58
guilford_SWASH,86,290,nc_house_of_representatives_district_58
