prec_id,Maggie Jeffus,Theresa Yon,election
guilford_G01,260,54,nc_house_of_representatives_district_59
guilford_G02,208,113,nc_house_of_representatives_district_59
guilford_G07,374,195,nc_house_of_representatives_district_59
guilford_G08,523,196,nc_house_of_representatives_district_59
guilford_G09,600,158,nc_house_of_representatives_district_59
guilford_G10,753,227,nc_house_of_representatives_district_59
guilford_G11,423,181,nc_house_of_representatives_district_59
guilford_G12,358,108,nc_house_of_representatives_district_59
guilford_G13,432,260,nc_house_of_representatives_district_59
guilford_G14,437,249,nc_house_of_representatives_district_59
guilford_G17,404,463,nc_house_of_representatives_district_59
guilford_G18,274,479,nc_house_of_representatives_district_59
guilford_G19,329,478,nc_house_of_representatives_district_59
guilford_G20,495,705,nc_house_of_representatives_district_59
guilford_G21,591,846,nc_house_of_representatives_district_59
guilford_G22,348,640,nc_house_of_representatives_district_59
guilford_G23,313,315,nc_house_of_representatives_district_59
guilford_G26,749,339,nc_house_of_representatives_district_59
guilford_G31,294,407,nc_house_of_representatives_district_59
guilford_G44,379,128,nc_house_of_representatives_district_59
guilford_G45,237,64,nc_house_of_representatives_district_59
guilford_MON1,435,370,nc_house_of_representatives_district_59
guilford_MON2A,682,365,nc_house_of_representatives_district_59
guilford_MON2B,414,286,nc_house_of_representatives_district_59
guilford_MON3,533,1111,nc_house_of_representatives_district_59
guilford_NMAD,328,502,nc_house_of_representatives_district_59
guilford_NWASH,86,461,nc_house_of_representatives_district_59
guilford_SMAD,411,648,nc_house_of_representatives_district_59
