prec_id,Annie Ward Mobley,Matthew (Matt) Peeler,election
bertie_C1,103,163,nc_house_of_representatives_district_5
bertie_C2,251,83,nc_house_of_representatives_district_5
bertie_IW,122,5,nc_house_of_representatives_district_5
bertie_M1,133,131,nc_house_of_representatives_district_5
bertie_M2,210,119,nc_house_of_representatives_district_5
bertie_MH,141,92,nc_house_of_representatives_district_5
bertie_RX,311,114,nc_house_of_representatives_district_5
bertie_SN,164,32,nc_house_of_representatives_district_5
bertie_W1,521,207,nc_house_of_representatives_district_5
bertie_W2,61,216,nc_house_of_representatives_district_5
bertie_WD,275,31,nc_house_of_representatives_district_5
bertie_WH,149,177,nc_house_of_representatives_district_5
gates_1,226,169,nc_house_of_representatives_district_5
gates_2,126,235,nc_house_of_representatives_district_5
gates_3,339,259,nc_house_of_representatives_district_5
gates_4N,156,344,nc_house_of_representatives_district_5
gates_4S,226,141,nc_house_of_representatives_district_5
gates_5,149,196,nc_house_of_representatives_district_5
hertford_A1,411,235,nc_house_of_representatives_district_5
hertford_A2,356,259,nc_house_of_representatives_district_5
hertford_A3,448,9,nc_house_of_representatives_district_5
hertford_BR,173,14,nc_house_of_representatives_district_5
hertford_CM,99,83,nc_house_of_representatives_district_5
hertford_CO,188,30,nc_house_of_representatives_district_5
hertford_HV,162,125,nc_house_of_representatives_district_5
hertford_M1,636,277,nc_house_of_representatives_district_5
hertford_M2,346,101,nc_house_of_representatives_district_5
hertford_ML,62,172,nc_house_of_representatives_district_5
hertford_SJ,211,88,nc_house_of_representatives_district_5
hertford_UN,168,113,nc_house_of_representatives_district_5
hertford_WN,223,75,nc_house_of_representatives_district_5
perquimans_BELVID,112,169,nc_house_of_representatives_district_5
perquimans_BETHEL,448,899,nc_house_of_representatives_district_5
perquimans_EAST H,230,177,nc_house_of_representatives_district_5
perquimans_WEST H,143,182,nc_house_of_representatives_district_5
perquimans_NEW HO,253,583,nc_house_of_representatives_district_5
perquimans_NICANO,49,71,nc_house_of_representatives_district_5
perquimans_PARKVI,362,406,nc_house_of_representatives_district_5
