prec_id,Alice Bordsen,Roger Kirk Parker,election
alamance_063,503,404,nc_house_of_representatives_district_63
alamance_06E,397,444,nc_house_of_representatives_district_63
alamance_06N,395,290,nc_house_of_representatives_district_63
alamance_06W,146,217,nc_house_of_representatives_district_63
alamance_10N,571,935,nc_house_of_representatives_district_63
alamance_10S,1036,1158,nc_house_of_representatives_district_63
alamance_11,813,521,nc_house_of_representatives_district_63
alamance_124,370,494,nc_house_of_representatives_district_63
alamance_125,322,562,nc_house_of_representatives_district_63
alamance_127,970,362,nc_house_of_representatives_district_63
alamance_128,339,195,nc_house_of_representatives_district_63
alamance_1210,254,326,nc_house_of_representatives_district_63
alamance_12E,265,212,nc_house_of_representatives_district_63
alamance_12N,1061,147,nc_house_of_representatives_district_63
alamance_12S,206,124,nc_house_of_representatives_district_63
alamance_12W,435,471,nc_house_of_representatives_district_63
alamance_13,709,622,nc_house_of_representatives_district_63
