prec_id,Arthur Williams,Bill Cook,election
beaufort_AUROR,245,194,nc_house_of_representatives_district_6
beaufort_BEADM,145,392,nc_house_of_representatives_district_6
beaufort_BELHV,334,256,nc_house_of_representatives_district_6
beaufort_BLCK,225,141,nc_house_of_representatives_district_6
beaufort_CHOCO,411,498,nc_house_of_representatives_district_6
beaufort_EDWAR,201,195,nc_house_of_representatives_district_6
beaufort_GILEA,168,284,nc_house_of_representatives_district_6
beaufort_HB,122,196,nc_house_of_representatives_district_6
beaufort_NCRK,174,325,nc_house_of_representatives_district_6
beaufort_OLDF,230,199,nc_house_of_representatives_district_6
beaufort_PANTE,236,276,nc_house_of_representatives_district_6
beaufort_PINET,99,220,nc_house_of_representatives_district_6
beaufort_PSJW3,307,51,nc_house_of_representatives_district_6
beaufort_RVRD,274,334,nc_house_of_representatives_district_6
beaufort_SURBA,333,434,nc_house_of_representatives_district_6
beaufort_TCRK,307,421,nc_house_of_representatives_district_6
beaufort_WASH1,241,130,nc_house_of_representatives_district_6
beaufort_WASH2,264,108,nc_house_of_representatives_district_6
beaufort_WASH4,269,223,nc_house_of_representatives_district_6
beaufort_WASHP,226,223,nc_house_of_representatives_district_6
beaufort_WDPD,145,291,nc_house_of_representatives_district_6
pitt_1101,195,185,nc_house_of_representatives_district_6
pitt_1102A,222,421,nc_house_of_representatives_district_6
pitt_1102B,312,684,nc_house_of_representatives_district_6
pitt_1201,399,406,nc_house_of_representatives_district_6
pitt_1508A,146,55,nc_house_of_representatives_district_6
pitt_1508B,183,151,nc_house_of_representatives_district_6
pitt_1509,329,338,nc_house_of_representatives_district_6
pitt_1510B,396,416,nc_house_of_representatives_district_6
