prec_id,Larry Womble,election
forsyth_042,88,nc_house_of_representatives_district_71
forsyth_043,164,nc_house_of_representatives_district_71
forsyth_082,565,nc_house_of_representatives_district_71
forsyth_122,148,nc_house_of_representatives_district_71
forsyth_301,263,nc_house_of_representatives_district_71
forsyth_401,531,nc_house_of_representatives_district_71
forsyth_402,461,nc_house_of_representatives_district_71
forsyth_403,427,nc_house_of_representatives_district_71
forsyth_404,505,nc_house_of_representatives_district_71
forsyth_405,375,nc_house_of_representatives_district_71
forsyth_501,777,nc_house_of_representatives_district_71
forsyth_502,483,nc_house_of_representatives_district_71
forsyth_503,363,nc_house_of_representatives_district_71
forsyth_504,318,nc_house_of_representatives_district_71
forsyth_505,471,nc_house_of_representatives_district_71
forsyth_506,294,nc_house_of_representatives_district_71
forsyth_507,304,nc_house_of_representatives_district_71
forsyth_601,312,nc_house_of_representatives_district_71
forsyth_602,424,nc_house_of_representatives_district_71
forsyth_603,540,nc_house_of_representatives_district_71
forsyth_604,232,nc_house_of_representatives_district_71
forsyth_605,653,nc_house_of_representatives_district_71
forsyth_606,340,nc_house_of_representatives_district_71
forsyth_704,192,nc_house_of_representatives_district_71
forsyth_902,189,nc_house_of_representatives_district_71
