prec_id,Earline W. Parmon,John Magee,election
forsyth_031,86,83,nc_house_of_representatives_district_72
forsyth_032,254,400,nc_house_of_representatives_district_72
forsyth_033,471,377,nc_house_of_representatives_district_72
forsyth_081,617,541,nc_house_of_representatives_district_72
forsyth_082,121,24,nc_house_of_representatives_district_72
forsyth_083,538,266,nc_house_of_representatives_district_72
forsyth_101,351,421,nc_house_of_representatives_district_72
forsyth_111,48,116,nc_house_of_representatives_district_72
forsyth_201,842,200,nc_house_of_representatives_district_72
forsyth_203,441,10,nc_house_of_representatives_district_72
forsyth_204,475,45,nc_house_of_representatives_district_72
forsyth_205,257,10,nc_house_of_representatives_district_72
forsyth_206,555,77,nc_house_of_representatives_district_72
forsyth_207,451,192,nc_house_of_representatives_district_72
forsyth_302,333,19,nc_house_of_representatives_district_72
forsyth_303,242,5,nc_house_of_representatives_district_72
forsyth_304,863,13,nc_house_of_representatives_district_72
forsyth_305,633,12,nc_house_of_representatives_district_72
forsyth_306,373,82,nc_house_of_representatives_district_72
forsyth_903,540,383,nc_house_of_representatives_district_72
forsyth_904,520,247,nc_house_of_representatives_district_72
forsyth_905,407,318,nc_house_of_representatives_district_72
forsyth_907,442,455,nc_house_of_representatives_district_72
forsyth_908,1,3,nc_house_of_representatives_district_72
forsyth_909,46,48,nc_house_of_representatives_district_72
