prec_id,Jerry C. Dockham,election
davidson_04,1668,nc_house_of_representatives_district_80
davidson_12,298,nc_house_of_representatives_district_80
davidson_14,536,nc_house_of_representatives_district_80
davidson_18,570,nc_house_of_representatives_district_80
davidson_20,820,nc_house_of_representatives_district_80
davidson_26,256,nc_house_of_representatives_district_80
davidson_42,662,nc_house_of_representatives_district_80
davidson_44,1343,nc_house_of_representatives_district_80
davidson_46,796,nc_house_of_representatives_district_80
davidson_48,742,nc_house_of_representatives_district_80
davidson_50,942,nc_house_of_representatives_district_80
davidson_54,484,nc_house_of_representatives_district_80
davidson_56,383,nc_house_of_representatives_district_80
davidson_60,972,nc_house_of_representatives_district_80
davidson_68,384,nc_house_of_representatives_district_80
davidson_72,873,nc_house_of_representatives_district_80
davidson_74,1145,nc_house_of_representatives_district_80
davidson_76,1058,nc_house_of_representatives_district_80
davidson_82,853,nc_house_of_representatives_district_80
davidson_84,1361,nc_house_of_representatives_district_80
davidson_CURBSIDE,0,nc_house_of_representatives_district_80
