prec_id,L. Hugh Holliman,Rayne Brown,election
davidson_06,234,705,nc_house_of_representatives_district_81
davidson_08,164,330,nc_house_of_representatives_district_81
davidson_10,284,632,nc_house_of_representatives_district_81
davidson_22,97,240,nc_house_of_representatives_district_81
davidson_24,168,353,nc_house_of_representatives_district_81
davidson_28,298,714,nc_house_of_representatives_district_81
davidson_30,704,107,nc_house_of_representatives_district_81
davidson_32,219,190,nc_house_of_representatives_district_81
davidson_34,285,310,nc_house_of_representatives_district_81
davidson_36,316,204,nc_house_of_representatives_district_81
davidson_38,385,68,nc_house_of_representatives_district_81
davidson_40,539,420,nc_house_of_representatives_district_81
davidson_52,488,1201,nc_house_of_representatives_district_81
davidson_58,360,780,nc_house_of_representatives_district_81
davidson_62,385,165,nc_house_of_representatives_district_81
davidson_64,549,121,nc_house_of_representatives_district_81
davidson_66,200,332,nc_house_of_representatives_district_81
davidson_68,98,27,nc_house_of_representatives_district_81
davidson_70,226,751,nc_house_of_representatives_district_81
davidson_78,322,887,nc_house_of_representatives_district_81
davidson_CURBSIDE,0,0,nc_house_of_representatives_district_81
