prec_id,Linda P. Johnson,election
cabarrus_43832,576,nc_house_of_representatives_district_83
cabarrus_43834,682,nc_house_of_representatives_district_83
cabarrus_43837,593,nc_house_of_representatives_district_83
cabarrus_43838,515,nc_house_of_representatives_district_83
cabarrus_43922,515,nc_house_of_representatives_district_83
cabarrus_43923,404,nc_house_of_representatives_district_83
cabarrus_43924,588,nc_house_of_representatives_district_83
cabarrus_43925,288,nc_house_of_representatives_district_83
cabarrus_43926,255,nc_house_of_representatives_district_83
cabarrus_43927,321,nc_house_of_representatives_district_83
cabarrus_43928,518,nc_house_of_representatives_district_83
cabarrus_43929,300,nc_house_of_representatives_district_83
cabarrus_43930,531,nc_house_of_representatives_district_83
cabarrus_43931,729,nc_house_of_representatives_district_83
cabarrus_36647,578,nc_house_of_representatives_district_83
cabarrus_36678,654,nc_house_of_representatives_district_83
cabarrus_36708,335,nc_house_of_representatives_district_83
cabarrus_36739,1085,nc_house_of_representatives_district_83
cabarrus_36770,647,nc_house_of_representatives_district_83
cabarrus_36800,1226,nc_house_of_representatives_district_83
cabarrus_44136,692,nc_house_of_representatives_district_83
cabarrus_44137,648,nc_house_of_representatives_district_83
