prec_id,Phillip Frye,election
avery_01,255,nc_house_of_representatives_district_84
avery_02,495,nc_house_of_representatives_district_84
avery_03,149,nc_house_of_representatives_district_84
avery_04,15,nc_house_of_representatives_district_84
avery_05,86,nc_house_of_representatives_district_84
avery_06,166,nc_house_of_representatives_district_84
avery_07,79,nc_house_of_representatives_district_84
avery_08,125,nc_house_of_representatives_district_84
avery_09,131,nc_house_of_representatives_district_84
avery_10,231,nc_house_of_representatives_district_84
avery_11,119,nc_house_of_representatives_district_84
avery_12,100,nc_house_of_representatives_district_84
avery_13,134,nc_house_of_representatives_district_84
avery_14,194,nc_house_of_representatives_district_84
avery_15,171,nc_house_of_representatives_district_84
avery_16,299,nc_house_of_representatives_district_84
avery_17,149,nc_house_of_representatives_district_84
avery_18,98,nc_house_of_representatives_district_84
avery_19,93,nc_house_of_representatives_district_84
caldwell_PR01,479,nc_house_of_representatives_district_84
caldwell_PR02,294,nc_house_of_representatives_district_84
caldwell_PR07,389,nc_house_of_representatives_district_84
caldwell_PR22,5,nc_house_of_representatives_district_84
caldwell_PR30,145,nc_house_of_representatives_district_84
mitchell_01,442,nc_house_of_representatives_district_84
mitchell_02,115,nc_house_of_representatives_district_84
mitchell_03,197,nc_house_of_representatives_district_84
mitchell_04,2199,nc_house_of_representatives_district_84
mitchell_05,281,nc_house_of_representatives_district_84
mitchell_06,231,nc_house_of_representatives_district_84
mitchell_07,79,nc_house_of_representatives_district_84
mitchell_08,129,nc_house_of_representatives_district_84
mitchell_09,418,nc_house_of_representatives_district_84
yancey_01 BUR,1309,nc_house_of_representatives_district_84
yancey_02 CAN,497,nc_house_of_representatives_district_84
yancey_03 EGY,187,nc_house_of_representatives_district_84
yancey_04 RAM,130,nc_house_of_representatives_district_84
yancey_05 GRE,166,nc_house_of_representatives_district_84
yancey_06 JAC,426,nc_house_of_representatives_district_84
yancey_07 BRU,119,nc_house_of_representatives_district_84
yancey_08 CRA,1057,nc_house_of_representatives_district_84
yancey_09 SOU,630,nc_house_of_representatives_district_84
yancey_10 PEN,213,nc_house_of_representatives_district_84
yancey_11 PRI,307,nc_house_of_representatives_district_84
