prec_id,"Walter Church, Jr.",Hugh Blackwell,election
burke_0001,435,754,nc_house_of_representatives_district_86
burke_0003,130,363,nc_house_of_representatives_district_86
burke_0011,188,716,nc_house_of_representatives_district_86
burke_0014,13,22,nc_house_of_representatives_district_86
burke_0018,74,132,nc_house_of_representatives_district_86
burke_0019,100,199,nc_house_of_representatives_district_86
burke_0020,183,261,nc_house_of_representatives_district_86
burke_0021,182,365,nc_house_of_representatives_district_86
burke_0022,210,590,nc_house_of_representatives_district_86
burke_0024,294,780,nc_house_of_representatives_district_86
burke_0031,461,298,nc_house_of_representatives_district_86
burke_0034,394,434,nc_house_of_representatives_district_86
burke_0035,319,303,nc_house_of_representatives_district_86
burke_0036,283,468,nc_house_of_representatives_district_86
burke_0038,320,532,nc_house_of_representatives_district_86
burke_0039,291,358,nc_house_of_representatives_district_86
burke_0040,259,423,nc_house_of_representatives_district_86
burke_0047-A,506,422,nc_house_of_representatives_district_86
burke_0047-B,253,282,nc_house_of_representatives_district_86
burke_0048,388,581,nc_house_of_representatives_district_86
burke_0051,414,756,nc_house_of_representatives_district_86
burke_0062,132,199,nc_house_of_representatives_district_86
burke_0066,248,427,nc_house_of_representatives_district_86
burke_0070,301,699,nc_house_of_representatives_district_86
