prec_id,Edith D. Warren,election
martin_BG,389,nc_house_of_representatives_district_8
martin_CR,262,nc_house_of_representatives_district_8
martin_GN,343,nc_house_of_representatives_district_8
martin_GR,313,nc_house_of_representatives_district_8
martin_HM,296,nc_house_of_representatives_district_8
martin_HS,122,nc_house_of_representatives_district_8
martin_J,494,nc_house_of_representatives_district_8
martin_PP,75,nc_house_of_representatives_district_8
martin_R1,297,nc_house_of_representatives_district_8
martin_R2,397,nc_house_of_representatives_district_8
martin_W,272,nc_house_of_representatives_district_8
martin_W1,624,nc_house_of_representatives_district_8
martin_W2,753,nc_house_of_representatives_district_8
pitt_0101,61,nc_house_of_representatives_district_8
pitt_0301,648,nc_house_of_representatives_district_8
pitt_0401,515,nc_house_of_representatives_district_8
pitt_0501,224,nc_house_of_representatives_district_8
pitt_0701,334,nc_house_of_representatives_district_8
pitt_0800A,655,nc_house_of_representatives_district_8
pitt_0800B,576,nc_house_of_representatives_district_8
pitt_0901,239,nc_house_of_representatives_district_8
pitt_1501,228,nc_house_of_representatives_district_8
pitt_1503,404,nc_house_of_representatives_district_8
pitt_1504A,398,nc_house_of_representatives_district_8
pitt_1504B,219,nc_house_of_representatives_district_8
pitt_1505A,336,nc_house_of_representatives_district_8
pitt_1505B,262,nc_house_of_representatives_district_8
pitt_1506,90,nc_house_of_representatives_district_8
pitt_1512A,121,nc_house_of_representatives_district_8
