prec_id,Randy Wolfe,Sarah Stevens,election
alleghany_01,154,433,nc_house_of_representatives_district_90
alleghany_02,36,109,nc_house_of_representatives_district_90
alleghany_03,600,886,nc_house_of_representatives_district_90
alleghany_04,190,502,nc_house_of_representatives_district_90
alleghany_05,101,195,nc_house_of_representatives_district_90
alleghany_06,106,229,nc_house_of_representatives_district_90
alleghany_07,94,253,nc_house_of_representatives_district_90
alleghany_CURBSIDE,0,0,nc_house_of_representatives_district_90
surry_01,172,574,nc_house_of_representatives_district_90
surry_02,96,132,nc_house_of_representatives_district_90
surry_03,236,612,nc_house_of_representatives_district_90
surry_04,256,574,nc_house_of_representatives_district_90
surry_06,218,376,nc_house_of_representatives_district_90
surry_07,195,295,nc_house_of_representatives_district_90
surry_08,189,521,nc_house_of_representatives_district_90
surry_09,101,407,nc_house_of_representatives_district_90
surry_11,132,343,nc_house_of_representatives_district_90
surry_12,219,461,nc_house_of_representatives_district_90
surry_13,163,376,nc_house_of_representatives_district_90
surry_14,186,558,nc_house_of_representatives_district_90
surry_15,138,446,nc_house_of_representatives_district_90
surry_17,76,348,nc_house_of_representatives_district_90
surry_18,141,614,nc_house_of_representatives_district_90
surry_19,201,510,nc_house_of_representatives_district_90
surry_22,148,375,nc_house_of_representatives_district_90
surry_25,136,462,nc_house_of_representatives_district_90
surry_26,180,658,nc_house_of_representatives_district_90
surry_33,196,385,nc_house_of_representatives_district_90
surry_CURBSIDE,20,43,nc_house_of_representatives_district_90
