prec_id,Ed Gambill,Bryan Holloway,election
rockingham_HO,210,530,nc_house_of_representatives_district_91
rockingham_HU,306,1109,nc_house_of_representatives_district_91
rockingham_IR,206,644,nc_house_of_representatives_district_91
rockingham_MS,28,121,nc_house_of_representatives_district_91
rockingham_NB,279,1074,nc_house_of_representatives_district_91
rockingham_WS,842,1760,nc_house_of_representatives_district_91
stokes_01,86,215,nc_house_of_representatives_district_91
stokes_02,164,449,nc_house_of_representatives_district_91
stokes_03,94,451,nc_house_of_representatives_district_91
stokes_04,94,552,nc_house_of_representatives_district_91
stokes_05,88,210,nc_house_of_representatives_district_91
stokes_06,54,202,nc_house_of_representatives_district_91
stokes_07,55,167,nc_house_of_representatives_district_91
stokes_08,90,360,nc_house_of_representatives_district_91
stokes_09,176,527,nc_house_of_representatives_district_91
stokes_10,192,873,nc_house_of_representatives_district_91
stokes_11,170,793,nc_house_of_representatives_district_91
stokes_12,125,586,nc_house_of_representatives_district_91
stokes_13,92,502,nc_house_of_representatives_district_91
stokes_14,187,579,nc_house_of_representatives_district_91
stokes_15,102,470,nc_house_of_representatives_district_91
stokes_16,220,323,nc_house_of_representatives_district_91
stokes_17,196,394,nc_house_of_representatives_district_91
stokes_18,135,61,nc_house_of_representatives_district_91
stokes_19,94,263,nc_house_of_representatives_district_91
stokes_20,116,317,nc_house_of_representatives_district_91
