prec_id,David H. Moulton,Shirley Blackburn Randleman,election
wilkes_101,58,202,nc_house_of_representatives_district_94
wilkes_102,129,304,nc_house_of_representatives_district_94
wilkes_103,60,166,nc_house_of_representatives_district_94
wilkes_104,115,345,nc_house_of_representatives_district_94
wilkes_105,97,302,nc_house_of_representatives_district_94
wilkes_106,94,242,nc_house_of_representatives_district_94
wilkes_107,189,772,nc_house_of_representatives_district_94
wilkes_108,131,274,nc_house_of_representatives_district_94
wilkes_109,80,181,nc_house_of_representatives_district_94
wilkes_110,40,85,nc_house_of_representatives_district_94
wilkes_111,137,422,nc_house_of_representatives_district_94
wilkes_112,130,497,nc_house_of_representatives_district_94
wilkes_113,150,365,nc_house_of_representatives_district_94
wilkes_114,54,169,nc_house_of_representatives_district_94
wilkes_115A,179,792,nc_house_of_representatives_district_94
wilkes_117,96,283,nc_house_of_representatives_district_94
wilkes_118,217,346,nc_house_of_representatives_district_94
wilkes_119,203,692,nc_house_of_representatives_district_94
wilkes_120,131,407,nc_house_of_representatives_district_94
wilkes_121,136,397,nc_house_of_representatives_district_94
wilkes_122,25,319,nc_house_of_representatives_district_94
wilkes_123,56,221,nc_house_of_representatives_district_94
wilkes_124,78,319,nc_house_of_representatives_district_94
wilkes_125,61,195,nc_house_of_representatives_district_94
wilkes_126,54,195,nc_house_of_representatives_district_94
wilkes_127,173,409,nc_house_of_representatives_district_94
wilkes_128,240,637,nc_house_of_representatives_district_94
wilkes_129,156,542,nc_house_of_representatives_district_94
