prec_id,Thom Tillis,election
mecklenburg_127,1325,nc_house_of_representatives_district_98
mecklenburg_128,693,nc_house_of_representatives_district_98
mecklenburg_133,1330,nc_house_of_representatives_district_98
mecklenburg_134,445,nc_house_of_representatives_district_98
mecklenburg_142,1373,nc_house_of_representatives_district_98
mecklenburg_143,1621,nc_house_of_representatives_district_98
mecklenburg_145,2017,nc_house_of_representatives_district_98
mecklenburg_150,353,nc_house_of_representatives_district_98
mecklenburg_151,496,nc_house_of_representatives_district_98
mecklenburg_202,1540,nc_house_of_representatives_district_98
mecklenburg_206,968,nc_house_of_representatives_district_98
mecklenburg_207,1308,nc_house_of_representatives_district_98
mecklenburg_208,1656,nc_house_of_representatives_district_98
mecklenburg_209,1102,nc_house_of_representatives_district_98
mecklenburg_211,286,nc_house_of_representatives_district_98
mecklenburg_214,630,nc_house_of_representatives_district_98
mecklenburg_223.1,1042,nc_house_of_representatives_district_98
mecklenburg_238.1,674,nc_house_of_representatives_district_98
mecklenburg_239,512,nc_house_of_representatives_district_98
mecklenburg_240,1417,nc_house_of_representatives_district_98
mecklenburg_241,830,nc_house_of_representatives_district_98
mecklenburg_242,1276,nc_house_of_representatives_district_98
mecklenburg_CURBSIDE,16,nc_house_of_representatives_district_98
