prec_id,Rodney W. Moore,Michael T. Wilson,election
mecklenburg_4,602,260,nc_house_of_representatives_district_99
mecklenburg_82,273,18,nc_house_of_representatives_district_99
mecklenburg_104,1044,88,nc_house_of_representatives_district_99
mecklenburg_105,701,220,nc_house_of_representatives_district_99
mecklenburg_107.1,898,306,nc_house_of_representatives_district_99
mecklenburg_123,679,210,nc_house_of_representatives_district_99
mecklenburg_126,836,192,nc_house_of_representatives_district_99
mecklenburg_132,428,228,nc_house_of_representatives_district_99
mecklenburg_134,484,762,nc_house_of_representatives_district_99
mecklenburg_135,1482,307,nc_house_of_representatives_district_99
mecklenburg_141,207,61,nc_house_of_representatives_district_99
mecklenburg_146,1015,241,nc_house_of_representatives_district_99
mecklenburg_149,1139,290,nc_house_of_representatives_district_99
mecklenburg_204.1,1355,347,nc_house_of_representatives_district_99
mecklenburg_205,631,530,nc_house_of_representatives_district_99
mecklenburg_207,19,27,nc_house_of_representatives_district_99
mecklenburg_209,13,51,nc_house_of_representatives_district_99
mecklenburg_211,656,381,nc_house_of_representatives_district_99
mecklenburg_212,1887,690,nc_house_of_representatives_district_99
mecklenburg_237,825,271,nc_house_of_representatives_district_99
mecklenburg_241,122,297,nc_house_of_representatives_district_99
mecklenburg_CURBSIDE,79,14,nc_house_of_representatives_district_99
