prec_id,Dewey Hudson,Brent Jackson,election
duplin_ALBE,100,313,nc_state_senate_district_10
duplin_BEUL,251,571,nc_state_senate_district_10
duplin_CALY,102,239,nc_state_senate_district_10
duplin_CFRK,56,193,nc_state_senate_district_10
duplin_CHAR,267,126,nc_state_senate_district_10
duplin_CHIN,124,187,nc_state_senate_district_10
duplin_CYCK,153,337,nc_state_senate_district_10
duplin_FAIS,270,218,nc_state_senate_district_10
duplin_GLIS,57,173,nc_state_senate_district_10
duplin_HALL,187,174,nc_state_senate_district_10
duplin_KENA,334,274,nc_state_senate_district_10
duplin_LOCK,62,102,nc_state_senate_district_10
duplin_MAGN,226,147,nc_state_senate_district_10
duplin_ROCK,178,159,nc_state_senate_district_10
duplin_ROSE,317,270,nc_state_senate_district_10
duplin_SMCA,102,256,nc_state_senate_district_10
duplin_WALL,793,645,nc_state_senate_district_10
duplin_WARS,606,295,nc_state_senate_district_10
duplin_WOLF,171,335,nc_state_senate_district_10
lenoir_C,422,493,nc_state_senate_district_10
lenoir_FC,506,1391,nc_state_senate_district_10
lenoir_I,200,464,nc_state_senate_district_10
lenoir_K1,275,9,nc_state_senate_district_10
lenoir_K2,337,17,nc_state_senate_district_10
lenoir_K3,376,133,nc_state_senate_district_10
lenoir_K4,602,808,nc_state_senate_district_10
lenoir_K5,444,205,nc_state_senate_district_10
lenoir_K6,686,129,nc_state_senate_district_10
lenoir_K7,731,141,nc_state_senate_district_10
lenoir_K8,510,7,nc_state_senate_district_10
lenoir_K9,630,392,nc_state_senate_district_10
lenoir_MH,938,878,nc_state_senate_district_10
lenoir_N,466,889,nc_state_senate_district_10
lenoir_PH1,49,224,nc_state_senate_district_10
lenoir_PH2,153,334,nc_state_senate_district_10
lenoir_SH,82,243,nc_state_senate_district_10
lenoir_SW,108,310,nc_state_senate_district_10
lenoir_T1,165,436,nc_state_senate_district_10
lenoir_T2,82,341,nc_state_senate_district_10
lenoir_V,491,453,nc_state_senate_district_10
lenoir_W,133,375,nc_state_senate_district_10
lenoir_CURBSIDE,81,25,nc_state_senate_district_10
sampson_AUTR,90,402,nc_state_senate_district_10
sampson_CLCE,228,40,nc_state_senate_district_10
sampson_CLEA,503,197,nc_state_senate_district_10
sampson_CLEM,123,381,nc_state_senate_district_10
sampson_CLNE,259,282,nc_state_senate_district_10
sampson_CLSW,191,188,nc_state_senate_district_10
sampson_CLWE,186,273,nc_state_senate_district_10
sampson_GARL,313,194,nc_state_senate_district_10
sampson_GIDD,230,146,nc_state_senate_district_10
sampson_HARR,396,131,nc_state_senate_district_10
sampson_HERR,51,295,nc_state_senate_district_10
sampson_INGO,185,124,nc_state_senate_district_10
sampson_KEEN,145,225,nc_state_senate_district_10
sampson_KFRK,236,287,nc_state_senate_district_10
sampson_LAKE,558,208,nc_state_senate_district_10
sampson_MING,209,706,nc_state_senate_district_10
sampson_NGRV,231,302,nc_state_senate_district_10
sampson_PLVW,145,772,nc_state_senate_district_10
sampson_ROSE,124,215,nc_state_senate_district_10
sampson_ROWA,244,269,nc_state_senate_district_10
sampson_SBRG,108,271,nc_state_senate_district_10
sampson_TURK,285,126,nc_state_senate_district_10
sampson_WBRK,155,305,nc_state_senate_district_10
sampson_CURBSIDE,0,0,nc_state_senate_district_10
