prec_id,Tony Foriest,Rick Gunn,Barry Coe,election
alamance_01,306,982,83,nc_state_senate_district_24
alamance_02,322,1173,142,nc_state_senate_district_24
alamance_035,377,757,66,nc_state_senate_district_24
alamance_03C,488,825,82,nc_state_senate_district_24
alamance_03N,580,773,89,nc_state_senate_district_24
alamance_03N2,239,186,7,nc_state_senate_district_24
alamance_03S,729,1135,90,nc_state_senate_district_24
alamance_03W,336,604,79,nc_state_senate_district_24
alamance_04,425,1172,107,nc_state_senate_district_24
alamance_05,277,778,63,nc_state_senate_district_24
alamance_063,499,381,36,nc_state_senate_district_24
alamance_064,712,1008,100,nc_state_senate_district_24
alamance_06E,399,420,41,nc_state_senate_district_24
alamance_06N,401,260,40,nc_state_senate_district_24
alamance_06S,439,651,70,nc_state_senate_district_24
alamance_06W,140,194,32,nc_state_senate_district_24
alamance_07,345,888,74,nc_state_senate_district_24
alamance_08N,371,678,65,nc_state_senate_district_24
alamance_08S,179,373,50,nc_state_senate_district_24
alamance_09N,349,513,35,nc_state_senate_district_24
alamance_09S,564,815,86,nc_state_senate_district_24
alamance_103,289,661,55,nc_state_senate_district_24
alamance_10N,575,880,65,nc_state_senate_district_24
alamance_10S,983,1120,116,nc_state_senate_district_24
alamance_11,817,474,54,nc_state_senate_district_24
alamance_124,380,433,59,nc_state_senate_district_24
alamance_125,327,532,48,nc_state_senate_district_24
alamance_126,429,653,63,nc_state_senate_district_24
alamance_127,967,346,34,nc_state_senate_district_24
alamance_128,345,180,21,nc_state_senate_district_24
alamance_129,213,457,41,nc_state_senate_district_24
alamance_1210,250,311,29,nc_state_senate_district_24
alamance_12E,259,209,17,nc_state_senate_district_24
alamance_12N,1047,139,26,nc_state_senate_district_24
alamance_12S,208,120,8,nc_state_senate_district_24
alamance_12W,431,442,57,nc_state_senate_district_24
alamance_13,692,584,69,nc_state_senate_district_24
caswell_ANDE,143,236,20,nc_state_senate_district_24
caswell_HIGH,248,190,7,nc_state_senate_district_24
caswell_LEAS,159,133,12,nc_state_senate_district_24
caswell_LOCU,557,328,13,nc_state_senate_district_24
caswell_MILT,664,337,16,nc_state_senate_district_24
caswell_PELH,489,755,25,nc_state_senate_district_24
caswell_PROS,127,273,20,nc_state_senate_district_24
caswell_PROVI,175,223,11,nc_state_senate_district_24
caswell_STON,351,464,43,nc_state_senate_district_24
caswell_YAN2,269,289,13,nc_state_senate_district_24
caswell_YAN4,275,127,13,nc_state_senate_district_24
caswell_CURBSIDE,0,0,0,nc_state_senate_district_24
