prec_id,Bill Purcell,P. Jason Phibbs,election
anson_ANS,353,171,nc_state_senate_district_25
anson_BURN,229,299,nc_state_senate_district_25
anson_GULL,300,145,nc_state_senate_district_25
anson_LILE,787,249,nc_state_senate_district_25
anson_MM,433,66,nc_state_senate_district_25
anson_PEAC,222,308,nc_state_senate_district_25
anson_POLK,232,152,nc_state_senate_district_25
anson_W1,710,213,nc_state_senate_district_25
anson_W2,480,151,nc_state_senate_district_25
anson_W3,647,303,nc_state_senate_district_25
anson_WS,66,49,nc_state_senate_district_25
richmond_01,615,219,nc_state_senate_district_25
richmond_02,651,520,nc_state_senate_district_25
richmond_03,138,111,nc_state_senate_district_25
richmond_04,246,165,nc_state_senate_district_25
richmond_05,83,57,nc_state_senate_district_25
richmond_06,188,181,nc_state_senate_district_25
richmond_07,143,60,nc_state_senate_district_25
richmond_08,576,249,nc_state_senate_district_25
richmond_09,812,530,nc_state_senate_district_25
richmond_10,176,71,nc_state_senate_district_25
richmond_11,199,108,nc_state_senate_district_25
richmond_12,346,246,nc_state_senate_district_25
richmond_13,152,120,nc_state_senate_district_25
richmond_14,74,16,nc_state_senate_district_25
richmond_15,30,34,nc_state_senate_district_25
richmond_16,47,71,nc_state_senate_district_25
scotland_1,405,71,nc_state_senate_district_25
scotland_2,264,47,nc_state_senate_district_25
scotland_3,379,272,nc_state_senate_district_25
scotland_4,415,360,nc_state_senate_district_25
scotland_5,163,204,nc_state_senate_district_25
scotland_6,84,67,nc_state_senate_district_25
scotland_7,478,202,nc_state_senate_district_25
scotland_8,149,152,nc_state_senate_district_25
scotland_9,207,194,nc_state_senate_district_25
scotland_10,260,159,nc_state_senate_district_25
stanly_0002,98,141,nc_state_senate_district_25
stanly_0003,297,325,nc_state_senate_district_25
stanly_0007,201,301,nc_state_senate_district_25
stanly_0008,403,10,nc_state_senate_district_25
stanly_0010,115,269,nc_state_senate_district_25
stanly_0011,122,246,nc_state_senate_district_25
stanly_0012,69,163,nc_state_senate_district_25
stanly_0013,91,307,nc_state_senate_district_25
stanly_0014,87,253,nc_state_senate_district_25
stanly_0015,240,248,nc_state_senate_district_25
stanly_0016,148,181,nc_state_senate_district_25
stanly_0017,147,368,nc_state_senate_district_25
stanly_0018,130,239,nc_state_senate_district_25
stanly_0019,119,422,nc_state_senate_district_25
stanly_0020,103,529,nc_state_senate_district_25
stanly_0021,70,362,nc_state_senate_district_25
stanly_0022,201,461,nc_state_senate_district_25
stanly_0023,151,684,nc_state_senate_district_25
stanly_0024,142,648,nc_state_senate_district_25
stanly_0025,162,670,nc_state_senate_district_25
stanly_0026,183,349,nc_state_senate_district_25
stanly_0027,248,433,nc_state_senate_district_25
stanly_0028,219,180,nc_state_senate_district_25
