prec_id,Gladys A. Robinson,Trudy Wade,Bruce Davis,election
guilford_FEN1,909,482,208,nc_state_senate_district_28
guilford_FR1,482,577,99,nc_state_senate_district_28
guilford_FR2,322,710,65,nc_state_senate_district_28
guilford_G03,653,34,95,nc_state_senate_district_28
guilford_G04,465,49,74,nc_state_senate_district_28
guilford_G05,552,12,99,nc_state_senate_district_28
guilford_G06,619,24,80,nc_state_senate_district_28
guilford_G46,593,22,74,nc_state_senate_district_28
guilford_G52,63,11,11,nc_state_senate_district_28
guilford_G53,843,83,156,nc_state_senate_district_28
guilford_G64,223,108,33,nc_state_senate_district_28
guilford_G65,391,402,61,nc_state_senate_district_28
guilford_G66,321,555,64,nc_state_senate_district_28
guilford_G67,257,4,40,nc_state_senate_district_28
guilford_G68,497,8,43,nc_state_senate_district_28
guilford_G69,732,56,99,nc_state_senate_district_28
guilford_G70,559,12,103,nc_state_senate_district_28
guilford_G71,641,12,85,nc_state_senate_district_28
guilford_G72,592,40,101,nc_state_senate_district_28
guilford_G73,577,13,102,nc_state_senate_district_28
guilford_G74,900,17,157,nc_state_senate_district_28
guilford_G75,612,44,113,nc_state_senate_district_28
guilford_H01,217,154,66,nc_state_senate_district_28
guilford_H02,129,420,65,nc_state_senate_district_28
guilford_H03,168,118,94,nc_state_senate_district_28
guilford_H04,212,269,114,nc_state_senate_district_28
guilford_H05,278,95,227,nc_state_senate_district_28
guilford_H06,380,497,142,nc_state_senate_district_28
guilford_H07,222,36,153,nc_state_senate_district_28
guilford_H08,143,15,51,nc_state_senate_district_28
guilford_H09,245,15,208,nc_state_senate_district_28
guilford_H10,396,82,336,nc_state_senate_district_28
guilford_H11,306,76,309,nc_state_senate_district_28
guilford_H12,194,181,78,nc_state_senate_district_28
guilford_H17,155,157,95,nc_state_senate_district_28
guilford_H18,279,173,231,nc_state_senate_district_28
guilford_H19A,238,74,167,nc_state_senate_district_28
guilford_H19B,83,198,36,nc_state_senate_district_28
guilford_H20A,146,288,71,nc_state_senate_district_28
guilford_H20B,110,372,58,nc_state_senate_district_28
guilford_H26,200,577,110,nc_state_senate_district_28
guilford_H27-A,264,620,91,nc_state_senate_district_28
guilford_H27-B,149,379,58,nc_state_senate_district_28
guilford_H28,401,539,164,nc_state_senate_district_28
guilford_H29A,286,314,88,nc_state_senate_district_28
guilford_H29B,310,333,69,nc_state_senate_district_28
guilford_JAM1,332,974,114,nc_state_senate_district_28
guilford_JAM2,251,538,52,nc_state_senate_district_28
guilford_JAM3,263,635,58,nc_state_senate_district_28
guilford_JAM4,201,849,45,nc_state_senate_district_28
guilford_JAM5,70,505,24,nc_state_senate_district_28
guilford_JEF1,8,15,2,nc_state_senate_district_28
guilford_JEF2,31,38,9,nc_state_senate_district_28
guilford_JEF3,1105,280,284,nc_state_senate_district_28
guilford_PG1,202,557,35,nc_state_senate_district_28
guilford_PG2,249,1028,50,nc_state_senate_district_28
guilford_SDRI,95,222,24,nc_state_senate_district_28
guilford_SUM1,411,404,115,nc_state_senate_district_28
guilford_SUM2,377,284,46,nc_state_senate_district_28
guilford_SUM3,85,475,16,nc_state_senate_district_28
guilford_SUM4,104,794,32,nc_state_senate_district_28
