prec_id,Peter Samuel (Pete) Brunstetter,election
forsyth_011,1246,nc_state_senate_district_31
forsyth_012,926,nc_state_senate_district_31
forsyth_013,982,nc_state_senate_district_31
forsyth_014,681,nc_state_senate_district_31
forsyth_015,572,nc_state_senate_district_31
forsyth_021,1176,nc_state_senate_district_31
forsyth_031,579,nc_state_senate_district_31
forsyth_032,672,nc_state_senate_district_31
forsyth_033,250,nc_state_senate_district_31
forsyth_034,659,nc_state_senate_district_31
forsyth_043,199,nc_state_senate_district_31
forsyth_051,962,nc_state_senate_district_31
forsyth_052,515,nc_state_senate_district_31
forsyth_053,732,nc_state_senate_district_31
forsyth_054,1093,nc_state_senate_district_31
forsyth_055,1181,nc_state_senate_district_31
forsyth_061,553,nc_state_senate_district_31
forsyth_062,714,nc_state_senate_district_31
forsyth_063,1274,nc_state_senate_district_31
forsyth_064,359,nc_state_senate_district_31
forsyth_065,1338,nc_state_senate_district_31
forsyth_066,694,nc_state_senate_district_31
forsyth_067,445,nc_state_senate_district_31
forsyth_068,837,nc_state_senate_district_31
forsyth_071,1202,nc_state_senate_district_31
forsyth_072,1653,nc_state_senate_district_31
forsyth_073,1238,nc_state_senate_district_31
forsyth_074,887,nc_state_senate_district_31
forsyth_075,240,nc_state_senate_district_31
forsyth_091,710,nc_state_senate_district_31
forsyth_092,685,nc_state_senate_district_31
forsyth_101,240,nc_state_senate_district_31
forsyth_111,640,nc_state_senate_district_31
forsyth_112,780,nc_state_senate_district_31
forsyth_123,784,nc_state_senate_district_31
forsyth_131,1014,nc_state_senate_district_31
forsyth_132,1154,nc_state_senate_district_31
forsyth_133,1594,nc_state_senate_district_31
forsyth_507,208,nc_state_senate_district_31
forsyth_701,511,nc_state_senate_district_31
forsyth_702,382,nc_state_senate_district_31
forsyth_703,293,nc_state_senate_district_31
forsyth_704,291,nc_state_senate_district_31
forsyth_705,191,nc_state_senate_district_31
forsyth_706,295,nc_state_senate_district_31
forsyth_707,289,nc_state_senate_district_31
forsyth_801,457,nc_state_senate_district_31
forsyth_802,740,nc_state_senate_district_31
forsyth_803,895,nc_state_senate_district_31
forsyth_804,568,nc_state_senate_district_31
forsyth_805,1041,nc_state_senate_district_31
forsyth_806,804,nc_state_senate_district_31
forsyth_807,710,nc_state_senate_district_31
forsyth_808,487,nc_state_senate_district_31
forsyth_809,1160,nc_state_senate_district_31
forsyth_901,585,nc_state_senate_district_31
forsyth_906,922,nc_state_senate_district_31
forsyth_907,558,nc_state_senate_district_31
