prec_id,Linda Garrou,Nathan Jones,election
forsyth_013,41,56,nc_state_senate_district_32
forsyth_032,78,123,nc_state_senate_district_32
forsyth_033,242,188,nc_state_senate_district_32
forsyth_042,425,588,nc_state_senate_district_32
forsyth_043,308,368,nc_state_senate_district_32
forsyth_081,620,537,nc_state_senate_district_32
forsyth_082,926,766,nc_state_senate_district_32
forsyth_083,548,283,nc_state_senate_district_32
forsyth_101,306,342,nc_state_senate_district_32
forsyth_122,820,915,nc_state_senate_district_32
forsyth_123,6,3,nc_state_senate_district_32
forsyth_201,852,191,nc_state_senate_district_32
forsyth_203,429,15,nc_state_senate_district_32
forsyth_204,471,49,nc_state_senate_district_32
forsyth_205,253,10,nc_state_senate_district_32
forsyth_206,554,78,nc_state_senate_district_32
forsyth_207,459,192,nc_state_senate_district_32
forsyth_301,253,9,nc_state_senate_district_32
forsyth_302,330,21,nc_state_senate_district_32
forsyth_303,241,8,nc_state_senate_district_32
forsyth_304,868,13,nc_state_senate_district_32
forsyth_305,620,19,nc_state_senate_district_32
forsyth_306,373,78,nc_state_senate_district_32
forsyth_401,514,46,nc_state_senate_district_32
forsyth_402,449,8,nc_state_senate_district_32
forsyth_403,413,22,nc_state_senate_district_32
forsyth_404,501,45,nc_state_senate_district_32
forsyth_405,367,14,nc_state_senate_district_32
forsyth_501,766,64,nc_state_senate_district_32
forsyth_502,473,25,nc_state_senate_district_32
forsyth_503,350,69,nc_state_senate_district_32
forsyth_504,299,78,nc_state_senate_district_32
forsyth_505,446,149,nc_state_senate_district_32
forsyth_506,252,274,nc_state_senate_district_32
forsyth_507,592,385,nc_state_senate_district_32
forsyth_601,392,181,nc_state_senate_district_32
forsyth_602,901,717,nc_state_senate_district_32
forsyth_603,530,223,nc_state_senate_district_32
forsyth_604,284,155,nc_state_senate_district_32
forsyth_605,626,473,nc_state_senate_district_32
forsyth_606,312,301,nc_state_senate_district_32
forsyth_607,541,534,nc_state_senate_district_32
forsyth_703,7,8,nc_state_senate_district_32
forsyth_704,130,89,nc_state_senate_district_32
forsyth_705,313,193,nc_state_senate_district_32
forsyth_707,97,71,nc_state_senate_district_32
forsyth_708,717,856,nc_state_senate_district_32
forsyth_709,471,539,nc_state_senate_district_32
forsyth_808,222,53,nc_state_senate_district_32
forsyth_902,423,129,nc_state_senate_district_32
forsyth_903,611,326,nc_state_senate_district_32
forsyth_904,537,236,nc_state_senate_district_32
forsyth_905,438,302,nc_state_senate_district_32
forsyth_908,599,927,nc_state_senate_district_32
forsyth_909,297,357,nc_state_senate_district_32
