prec_id,Andrew C. Brock,election
davie_01,409,nc_state_senate_district_34
davie_02,385,nc_state_senate_district_34
davie_03,914,nc_state_senate_district_34
davie_04,482,nc_state_senate_district_34
davie_05,994,nc_state_senate_district_34
davie_06,581,nc_state_senate_district_34
davie_07,615,nc_state_senate_district_34
davie_08,515,nc_state_senate_district_34
davie_09,725,nc_state_senate_district_34
davie_10,919,nc_state_senate_district_34
davie_11,626,nc_state_senate_district_34
davie_12,1383,nc_state_senate_district_34
davie_13,1221,nc_state_senate_district_34
davie_14,773,nc_state_senate_district_34
davie_CURBSIDE,44,nc_state_senate_district_34
rowan_01,450,nc_state_senate_district_34
rowan_02,208,nc_state_senate_district_34
rowan_03,665,nc_state_senate_district_34
rowan_04,864,nc_state_senate_district_34
rowan_05,522,nc_state_senate_district_34
rowan_06,344,nc_state_senate_district_34
rowan_07,357,nc_state_senate_district_34
rowan_08,694,nc_state_senate_district_34
rowan_09,606,nc_state_senate_district_34
rowan_10,710,nc_state_senate_district_34
rowan_11,593,nc_state_senate_district_34
rowan_12,285,nc_state_senate_district_34
rowan_13,476,nc_state_senate_district_34
rowan_14,399,nc_state_senate_district_34
rowan_15,663,nc_state_senate_district_34
rowan_16,320,nc_state_senate_district_34
rowan_17,469,nc_state_senate_district_34
rowan_18,38,nc_state_senate_district_34
rowan_19,594,nc_state_senate_district_34
rowan_20,311,nc_state_senate_district_34
rowan_21,552,nc_state_senate_district_34
rowan_22,224,nc_state_senate_district_34
rowan_23,369,nc_state_senate_district_34
rowan_24,374,nc_state_senate_district_34
rowan_25,637,nc_state_senate_district_34
rowan_26,361,nc_state_senate_district_34
rowan_27,329,nc_state_senate_district_34
rowan_28,338,nc_state_senate_district_34
rowan_29,266,nc_state_senate_district_34
rowan_30,343,nc_state_senate_district_34
rowan_31,376,nc_state_senate_district_34
rowan_32,394,nc_state_senate_district_34
rowan_33,492,nc_state_senate_district_34
rowan_34,389,nc_state_senate_district_34
rowan_35,119,nc_state_senate_district_34
rowan_36,300,nc_state_senate_district_34
rowan_38,265,nc_state_senate_district_34
rowan_39,296,nc_state_senate_district_34
rowan_40,453,nc_state_senate_district_34
rowan_41,384,nc_state_senate_district_34
rowan_42,35,nc_state_senate_district_34
rowan_44,630,nc_state_senate_district_34
rowan_45,210,nc_state_senate_district_34
rowan_46,515,nc_state_senate_district_34
