prec_id,Joe Sam Queen,"Ralph E. Hise, Jr.",election
avery_01,71,239,nc_state_senate_district_47
avery_02,179,454,nc_state_senate_district_47
avery_03,28,142,nc_state_senate_district_47
avery_04,5,17,nc_state_senate_district_47
avery_05,10,100,nc_state_senate_district_47
avery_06,47,165,nc_state_senate_district_47
avery_07,10,84,nc_state_senate_district_47
avery_08,17,130,nc_state_senate_district_47
avery_09,13,129,nc_state_senate_district_47
avery_10,53,216,nc_state_senate_district_47
avery_11,46,106,nc_state_senate_district_47
avery_12,20,106,nc_state_senate_district_47
avery_13,52,121,nc_state_senate_district_47
avery_14,46,189,nc_state_senate_district_47
avery_15,42,162,nc_state_senate_district_47
avery_16,108,263,nc_state_senate_district_47
avery_17,29,148,nc_state_senate_district_47
avery_18,22,100,nc_state_senate_district_47
avery_19,14,88,nc_state_senate_district_47
haywood_AC,468,389,nc_state_senate_district_47
haywood_BC,12,4,nc_state_senate_district_47
haywood_BE-1,265,284,nc_state_senate_district_47
haywood_BE-2,247,227,nc_state_senate_district_47
haywood_BE-3,392,432,nc_state_senate_district_47
haywood_BE-4,280,362,nc_state_senate_district_47
haywood_BE56,438,347,nc_state_senate_district_47
haywood_BE-7,229,288,nc_state_senate_district_47
haywood_CL-N,435,454,nc_state_senate_district_47
haywood_CL-S,516,519,nc_state_senate_district_47
haywood_CR,379,347,nc_state_senate_district_47
haywood_FC-1,160,161,nc_state_senate_district_47
haywood_FC-2,45,62,nc_state_senate_district_47
haywood_HA,251,138,nc_state_senate_district_47
haywood_ID,236,205,nc_state_senate_district_47
haywood_IH,728,754,nc_state_senate_district_47
haywood_JC,613,640,nc_state_senate_district_47
haywood_LJ,576,387,nc_state_senate_district_47
haywood_SA,504,497,nc_state_senate_district_47
haywood_WC,190,90,nc_state_senate_district_47
haywood_WE,458,319,nc_state_senate_district_47
haywood_WO,80,74,nc_state_senate_district_47
haywood_WS-1,606,462,nc_state_senate_district_47
haywood_WS-2,527,338,nc_state_senate_district_47
haywood_WW,394,334,nc_state_senate_district_47
haywood_CURBSIDE,48,19,nc_state_senate_district_47
madison_BEECH,304,387,nc_state_senate_district_47
madison_EBBS C,179,291,nc_state_senate_district_47
madison_GRAPEV,253,258,nc_state_senate_district_47
madison_HOT SP,148,101,nc_state_senate_district_47
madison_LAUREL,236,188,nc_state_senate_district_47
madison_MARS H,630,613,nc_state_senate_district_47
madison_NORTH,667,501,nc_state_senate_district_47
madison_REVERE,102,41,nc_state_senate_district_47
madison_SANDY,110,92,nc_state_senate_district_47
madison_SOUTH,271,210,nc_state_senate_district_47
madison_SPRING,215,119,nc_state_senate_district_47
madison_WALNUT,305,314,nc_state_senate_district_47
madison_CURBSIDE,0,0,nc_state_senate_district_47
mcdowell_CCREEK,413,629,nc_state_senate_district_47
mcdowell_DYSART,320,430,nc_state_senate_district_47
mcdowell_FORT 1,303,317,nc_state_senate_district_47
mcdowell_FORT 2,191,245,nc_state_senate_district_47
mcdowell_GLENWD,277,464,nc_state_senate_district_47
mcdowell_HIGGIN,216,294,nc_state_senate_district_47
mcdowell_M.COVE,256,451,nc_state_senate_district_47
mcdowell_MAR 1,565,721,nc_state_senate_district_47
mcdowell_MAR 2,410,255,nc_state_senate_district_47
mcdowell_MAR 3,167,181,nc_state_senate_district_47
mcdowell_MAR 4,165,186,nc_state_senate_district_47
mcdowell_MAR 5,154,176,nc_state_senate_district_47
mcdowell_N.COVE,154,212,nc_state_senate_district_47
mcdowell_NEBO,492,693,nc_state_senate_district_47
mcdowell_PLEASA,433,628,nc_state_senate_district_47
mcdowell_T.COVE,109,253,nc_state_senate_district_47
mcdowell_WEST M,585,775,nc_state_senate_district_47
mitchell_01,136,479,nc_state_senate_district_47
mitchell_02,28,112,nc_state_senate_district_47
mitchell_03,62,199,nc_state_senate_district_47
mitchell_04,650,2114,nc_state_senate_district_47
mitchell_05,103,277,nc_state_senate_district_47
mitchell_06,45,232,nc_state_senate_district_47
mitchell_07,9,88,nc_state_senate_district_47
mitchell_08,33,125,nc_state_senate_district_47
mitchell_09,188,415,nc_state_senate_district_47
yancey_01 BUR,1035,1243,nc_state_senate_district_47
yancey_02 CAN,382,453,nc_state_senate_district_47
yancey_03 EGY,151,183,nc_state_senate_district_47
yancey_04 RAM,110,119,nc_state_senate_district_47
yancey_05 GRE,186,145,nc_state_senate_district_47
yancey_06 JAC,483,392,nc_state_senate_district_47
yancey_07 BRU,149,106,nc_state_senate_district_47
yancey_08 CRA,717,969,nc_state_senate_district_47
yancey_09 SOU,586,555,nc_state_senate_district_47
yancey_10 PEN,129,192,nc_state_senate_district_47
yancey_11 PRI,298,497,nc_state_senate_district_47
