prec_id,Chris Dixon,Tom Apodaca,election
buncombe_02.1,0,0,nc_state_senate_district_48
buncombe_08.2,0,2,nc_state_senate_district_48
buncombe_18.2,356,539,nc_state_senate_district_48
buncombe_19.1,66,92,nc_state_senate_district_48
buncombe_24.1,83,119,nc_state_senate_district_48
buncombe_29.2,353,380,nc_state_senate_district_48
buncombe_30.2,150,229,nc_state_senate_district_48
buncombe_30.3,188,337,nc_state_senate_district_48
buncombe_31.1,165,401,nc_state_senate_district_48
buncombe_37.1,156,216,nc_state_senate_district_48
buncombe_38.2,125,287,nc_state_senate_district_48
buncombe_38.3,220,512,nc_state_senate_district_48
buncombe_39.2,176,280,nc_state_senate_district_48
buncombe_39.3,194,343,nc_state_senate_district_48
buncombe_44.1,343,560,nc_state_senate_district_48
buncombe_46.1,135,191,nc_state_senate_district_48
buncombe_47.1,387,652,nc_state_senate_district_48
buncombe_49.1,290,645,nc_state_senate_district_48
buncombe_54.2,261,337,nc_state_senate_district_48
buncombe_55.1,319,468,nc_state_senate_district_48
buncombe_56.2,231,345,nc_state_senate_district_48
buncombe_57.1,289,500,nc_state_senate_district_48
buncombe_CURBSIDE,0,0,nc_state_senate_district_48
henderson_AR,201,454,nc_state_senate_district_48
henderson_AT,434,1124,nc_state_senate_district_48
henderson_BC,138,232,nc_state_senate_district_48
henderson_BK,132,180,nc_state_senate_district_48
henderson_CB,140,416,nc_state_senate_district_48
henderson_CC,319,817,nc_state_senate_district_48
henderson_CV,98,264,nc_state_senate_district_48
henderson_ED,250,723,nc_state_senate_district_48
henderson_EF,244,615,nc_state_senate_district_48
henderson_ES,322,575,nc_state_senate_district_48
henderson_EV,358,889,nc_state_senate_district_48
henderson_FL,544,1084,nc_state_senate_district_48
henderson_FR,514,1396,nc_state_senate_district_48
henderson_GM,153,417,nc_state_senate_district_48
henderson_GR,246,786,nc_state_senate_district_48
henderson_HC,375,936,nc_state_senate_district_48
henderson_HS,376,856,nc_state_senate_district_48
henderson_HV-1,436,744,nc_state_senate_district_48
henderson_HV-2,321,423,nc_state_senate_district_48
henderson_HV-3,424,623,nc_state_senate_district_48
henderson_LJ,342,791,nc_state_senate_district_48
henderson_LP,366,659,nc_state_senate_district_48
henderson_MG,139,294,nc_state_senate_district_48
henderson_NB,350,1017,nc_state_senate_district_48
henderson_NE,214,471,nc_state_senate_district_48
henderson_NM,366,883,nc_state_senate_district_48
henderson_NW,267,609,nc_state_senate_district_48
henderson_PR,294,779,nc_state_senate_district_48
henderson_PV,328,758,nc_state_senate_district_48
henderson_RG,260,818,nc_state_senate_district_48
henderson_RR,142,270,nc_state_senate_district_48
henderson_SB,232,841,nc_state_senate_district_48
henderson_SE,104,328,nc_state_senate_district_48
henderson_SM,406,1196,nc_state_senate_district_48
henderson_SW,353,843,nc_state_senate_district_48
henderson_CURBSIDE,107,235,nc_state_senate_district_48
polk_CG05,147,462,nc_state_senate_district_48
polk_CL07,482,699,nc_state_senate_district_48
polk_CL08,464,876,nc_state_senate_district_48
polk_GC09,478,786,nc_state_senate_district_48
polk_SA04,268,441,nc_state_senate_district_48
polk_TR123,858,804,nc_state_senate_district_48
polk_WO06,337,477,nc_state_senate_district_48
