prec_id,Don Davis,"Louis M. Pate, Jr.",election
greene_ARBA,139,188,nc_state_senate_district_5
greene_BEAR,104,139,nc_state_senate_district_5
greene_BULL,131,125,nc_state_senate_district_5
greene_CAST,86,181,nc_state_senate_district_5
greene_HOOK,119,152,nc_state_senate_district_5
greene_MAUR,223,287,nc_state_senate_district_5
greene_SH#1,164,196,nc_state_senate_district_5
greene_SHIN,129,306,nc_state_senate_district_5
greene_SUGG,118,196,nc_state_senate_district_5
greene_WALS,188,198,nc_state_senate_district_5
pitt_0101,107,236,nc_state_senate_district_5
pitt_0200A,299,492,nc_state_senate_district_5
pitt_0200B,148,148,nc_state_senate_district_5
pitt_0701,6,12,nc_state_senate_district_5
pitt_0800A,391,478,nc_state_senate_district_5
pitt_0800B,342,398,nc_state_senate_district_5
pitt_0901,54,105,nc_state_senate_district_5
pitt_1402A,188,356,nc_state_senate_district_5
pitt_1402B,166,333,nc_state_senate_district_5
pitt_1403A,373,743,nc_state_senate_district_5
pitt_1403B,427,663,nc_state_senate_district_5
pitt_1507,309,306,nc_state_senate_district_5
pitt_1507B,110,96,nc_state_senate_district_5
pitt_1508A,137,62,nc_state_senate_district_5
pitt_1508B,158,175,nc_state_senate_district_5
pitt_1509,298,418,nc_state_senate_district_5
pitt_1510A,262,509,nc_state_senate_district_5
pitt_1510B,334,482,nc_state_senate_district_5
pitt_1511A,323,646,nc_state_senate_district_5
pitt_1511B,224,277,nc_state_senate_district_5
pitt_1512A,311,354,nc_state_senate_district_5
pitt_1512B,276,291,nc_state_senate_district_5
wayne_2,179,482,nc_state_senate_district_5
wayne_6,188,253,nc_state_senate_district_5
wayne_7,258,571,nc_state_senate_district_5
wayne_10,244,146,nc_state_senate_district_5
wayne_11,199,176,nc_state_senate_district_5
wayne_12,261,256,nc_state_senate_district_5
wayne_13,275,155,nc_state_senate_district_5
wayne_14,140,582,nc_state_senate_district_5
wayne_15,100,494,nc_state_senate_district_5
wayne_17,202,10,nc_state_senate_district_5
wayne_18,202,57,nc_state_senate_district_5
wayne_19,340,17,nc_state_senate_district_5
wayne_20,268,37,nc_state_senate_district_5
wayne_21,230,155,nc_state_senate_district_5
wayne_22,156,185,nc_state_senate_district_5
wayne_23,157,234,nc_state_senate_district_5
wayne_25,96,320,nc_state_senate_district_5
wayne_26,162,186,nc_state_senate_district_5
wayne_27,299,90,nc_state_senate_district_5
wayne_28,221,456,nc_state_senate_district_5
wayne_29,259,128,nc_state_senate_district_5
wayne_30,192,103,nc_state_senate_district_5
wayne_UNIVERSAL,0,0,nc_state_senate_district_5
