prec_id,Harry Brown,election
jones_P01,137,nc_state_senate_district_6
jones_P02,144,nc_state_senate_district_6
jones_P03,190,nc_state_senate_district_6
jones_P04,466,nc_state_senate_district_6
jones_P05,277,nc_state_senate_district_6
jones_P06,186,nc_state_senate_district_6
jones_P07,277,nc_state_senate_district_6
onslow_BC21,723,nc_state_senate_district_6
onslow_BM08,848,nc_state_senate_district_6
onslow_CL10,436,nc_state_senate_district_6
onslow_CR07,690,nc_state_senate_district_6
onslow_EN03,703,nc_state_senate_district_6
onslow_FS16,681,nc_state_senate_district_6
onslow_GB12,505,nc_state_senate_district_6
onslow_HM05,531,nc_state_senate_district_6
onslow_HN14,381,nc_state_senate_district_6
onslow_HR17,266,nc_state_senate_district_6
onslow_HU20,495,nc_state_senate_district_6
onslow_JA01,328,nc_state_senate_district_6
onslow_ML23,187,nc_state_senate_district_6
onslow_MT24,390,nc_state_senate_district_6
onslow_NE22A,315,nc_state_senate_district_6
onslow_NE22B,657,nc_state_senate_district_6
onslow_NM13,265,nc_state_senate_district_6
onslow_NR02,85,nc_state_senate_district_6
onslow_RL09,729,nc_state_senate_district_6
onslow_SF18,776,nc_state_senate_district_6
onslow_SW19,862,nc_state_senate_district_6
onslow_TL06,510,nc_state_senate_district_6
onslow_VR15,361,nc_state_senate_district_6
onslow_WN04,834,nc_state_senate_district_6
