prec_id,Doug Berger,Michael Schriver,election
franklin_01,540,369,nc_state_senate_district_7
franklin_02,377,326,nc_state_senate_district_7
franklin_03,609,706,nc_state_senate_district_7
franklin_05,289,577,nc_state_senate_district_7
franklin_06,414,330,nc_state_senate_district_7
franklin_07,171,491,nc_state_senate_district_7
franklin_08,390,646,nc_state_senate_district_7
franklin_09,259,452,nc_state_senate_district_7
franklin_10,213,298,nc_state_senate_district_7
franklin_11,444,286,nc_state_senate_district_7
franklin_12,279,305,nc_state_senate_district_7
franklin_13,255,592,nc_state_senate_district_7
franklin_14,530,1018,nc_state_senate_district_7
franklin_15,859,386,nc_state_senate_district_7
franklin_16,586,404,nc_state_senate_district_7
franklin_17,400,879,nc_state_senate_district_7
franklin_18,320,734,nc_state_senate_district_7
franklin_19,519,1077,nc_state_senate_district_7
granville_ANTI,423,149,nc_state_senate_district_7
granville_BERE,314,379,nc_state_senate_district_7
granville_BTNR,607,550,nc_state_senate_district_7
granville_CORI,433,434,nc_state_senate_district_7
granville_CRDL,501,308,nc_state_senate_district_7
granville_CRDM,787,863,nc_state_senate_district_7
granville_EAOX,606,345,nc_state_senate_district_7
granville_MTEN,536,793,nc_state_senate_district_7
granville_OKHL,334,251,nc_state_senate_district_7
granville_SALM,363,370,nc_state_senate_district_7
granville_SASS,416,352,nc_state_senate_district_7
granville_SOOX,486,145,nc_state_senate_district_7
granville_TYHO,462,888,nc_state_senate_district_7
granville_WILT,561,1381,nc_state_senate_district_7
granville_WOEL,394,187,nc_state_senate_district_7
vance_CC,537,711,nc_state_senate_district_7
vance_EH1,819,70,nc_state_senate_district_7
vance_HTOP,279,142,nc_state_senate_district_7
vance_KITT,762,901,nc_state_senate_district_7
vance_MIDD,846,588,nc_state_senate_district_7
vance_NH,1040,624,nc_state_senate_district_7
vance_NH1,764,102,nc_state_senate_district_7
vance_NV,377,217,nc_state_senate_district_7
vance_SCRK,952,750,nc_state_senate_district_7
vance_SH1,633,214,nc_state_senate_district_7
vance_SH2,238,125,nc_state_senate_district_7
vance_WH,903,1127,nc_state_senate_district_7
warren_001,209,324,nc_state_senate_district_7
warren_002,166,264,nc_state_senate_district_7
warren_003,255,166,nc_state_senate_district_7
warren_004,230,109,nc_state_senate_district_7
warren_005,448,112,nc_state_senate_district_7
warren_006,384,114,nc_state_senate_district_7
warren_007,263,95,nc_state_senate_district_7
warren_008,445,65,nc_state_senate_district_7
warren_009,180,91,nc_state_senate_district_7
warren_010,653,178,nc_state_senate_district_7
warren_011,138,52,nc_state_senate_district_7
warren_012,132,343,nc_state_senate_district_7
warren_013,129,148,nc_state_senate_district_7
warren_014,436,200,nc_state_senate_district_7
