prec_id,David Redwine,Bill Rabon,election
brunswick_01,363,367,nc_state_senate_district_8
brunswick_02,655,746,nc_state_senate_district_8
brunswick_03,338,255,nc_state_senate_district_8
brunswick_04A,934,1631,nc_state_senate_district_8
brunswick_04B,496,950,nc_state_senate_district_8
brunswick_04C,333,614,nc_state_senate_district_8
brunswick_05,442,1022,nc_state_senate_district_8
brunswick_06,260,526,nc_state_senate_district_8
brunswick_07,341,992,nc_state_senate_district_8
brunswick_08,478,1378,nc_state_senate_district_8
brunswick_09,163,491,nc_state_senate_district_8
brunswick_10,955,2647,nc_state_senate_district_8
brunswick_11,533,471,nc_state_senate_district_8
brunswick_12,444,949,nc_state_senate_district_8
brunswick_13,450,806,nc_state_senate_district_8
brunswick_14,739,1465,nc_state_senate_district_8
brunswick_15,800,1482,nc_state_senate_district_8
brunswick_16,761,1605,nc_state_senate_district_8
brunswick_17,945,1422,nc_state_senate_district_8
brunswick_18,278,548,nc_state_senate_district_8
brunswick_19,658,1346,nc_state_senate_district_8
brunswick_20,425,1153,nc_state_senate_district_8
brunswick_21,413,1621,nc_state_senate_district_8
brunswick_22,278,829,nc_state_senate_district_8
brunswick_23,303,924,nc_state_senate_district_8
brunswick_CURBSIDE,62,64,nc_state_senate_district_8
columbus_P01A,240,317,nc_state_senate_district_8
columbus_P02A,192,101,nc_state_senate_district_8
columbus_P03,73,147,nc_state_senate_district_8
columbus_P04,65,51,nc_state_senate_district_8
columbus_P05,75,74,nc_state_senate_district_8
columbus_P06,109,213,nc_state_senate_district_8
columbus_P07,387,305,nc_state_senate_district_8
columbus_P08,29,112,nc_state_senate_district_8
columbus_P09,171,195,nc_state_senate_district_8
columbus_P10,61,176,nc_state_senate_district_8
columbus_P11,79,219,nc_state_senate_district_8
columbus_P12,46,77,nc_state_senate_district_8
columbus_P13,93,169,nc_state_senate_district_8
columbus_P14,378,457,nc_state_senate_district_8
columbus_P15,337,288,nc_state_senate_district_8
columbus_P16A,212,360,nc_state_senate_district_8
columbus_P17,223,147,nc_state_senate_district_8
columbus_P18,86,79,nc_state_senate_district_8
columbus_P19,214,326,nc_state_senate_district_8
columbus_P20,95,78,nc_state_senate_district_8
columbus_P21,97,183,nc_state_senate_district_8
columbus_P22,219,335,nc_state_senate_district_8
columbus_P23,217,263,nc_state_senate_district_8
columbus_P24,143,378,nc_state_senate_district_8
columbus_P25A,96,289,nc_state_senate_district_8
columbus_P26A,406,366,nc_state_senate_district_8
pender_NB01,387,446,nc_state_senate_district_8
pender_SB02,639,734,nc_state_senate_district_8
pender_CT03,85,42,nc_state_senate_district_8
pender_CS04,206,268,nc_state_senate_district_8
pender_CL05,443,222,nc_state_senate_district_8
pender_GR06,547,461,nc_state_senate_district_8
pender_MH07,36,136,nc_state_senate_district_8
pender_UH08,326,82,nc_state_senate_district_8
pender_LC09,256,434,nc_state_senate_district_8
pender_PL10,73,153,nc_state_senate_district_8
pender_CF11,312,739,nc_state_senate_district_8
pender_SH12,184,680,nc_state_senate_district_8
pender_SC13,424,862,nc_state_senate_district_8
pender_UT14,358,1176,nc_state_senate_district_8
pender_SP15,354,791,nc_state_senate_district_8
pender_LU16,141,351,nc_state_senate_district_8
pender_UU17,259,211,nc_state_senate_district_8
pender_LT18,339,964,nc_state_senate_district_8
pender_MT19,424,950,nc_state_senate_district_8
pender_RP20,355,363,nc_state_senate_district_8
pender_CURBSIDE,53,26,nc_state_senate_district_8
