prec_id,Jeff Gregory,Patrick McHenry,election
avery_01,52,258,us_house_of_representatives_district_10
avery_02,175,461,us_house_of_representatives_district_10
avery_03,22,150,us_house_of_representatives_district_10
avery_04,5,17,us_house_of_representatives_district_10
avery_05,10,99,us_house_of_representatives_district_10
avery_06,34,173,us_house_of_representatives_district_10
avery_07,8,85,us_house_of_representatives_district_10
avery_08,13,136,us_house_of_representatives_district_10
avery_09,8,139,us_house_of_representatives_district_10
avery_10,57,216,us_house_of_representatives_district_10
avery_11,38,114,us_house_of_representatives_district_10
avery_12,16,104,us_house_of_representatives_district_10
avery_13,46,124,us_house_of_representatives_district_10
avery_14,38,202,us_house_of_representatives_district_10
avery_15,40,164,us_house_of_representatives_district_10
avery_16,109,265,us_house_of_representatives_district_10
avery_17,23,148,us_house_of_representatives_district_10
avery_18,17,99,us_house_of_representatives_district_10
avery_19,8,97,us_house_of_representatives_district_10
burke_0001,420,764,us_house_of_representatives_district_10
burke_0003,109,377,us_house_of_representatives_district_10
burke_0011,202,697,us_house_of_representatives_district_10
burke_0012,112,534,us_house_of_representatives_district_10
burke_0013,169,795,us_house_of_representatives_district_10
burke_0014,138,621,us_house_of_representatives_district_10
burke_0015,138,402,us_house_of_representatives_district_10
burke_0018,73,133,us_house_of_representatives_district_10
burke_0019,105,197,us_house_of_representatives_district_10
burke_0020,165,277,us_house_of_representatives_district_10
burke_0021,198,355,us_house_of_representatives_district_10
burke_0022,223,585,us_house_of_representatives_district_10
burke_0024,337,733,us_house_of_representatives_district_10
burke_0029-A,78,313,us_house_of_representatives_district_10
burke_0029-B,127,270,us_house_of_representatives_district_10
burke_0031,446,304,us_house_of_representatives_district_10
burke_0034,398,415,us_house_of_representatives_district_10
burke_0035,318,301,us_house_of_representatives_district_10
burke_0036,260,488,us_house_of_representatives_district_10
burke_0038,295,550,us_house_of_representatives_district_10
burke_0039,296,351,us_house_of_representatives_district_10
burke_0040,248,439,us_house_of_representatives_district_10
burke_0047-A,477,440,us_house_of_representatives_district_10
burke_0047-B,239,293,us_house_of_representatives_district_10
burke_0048,383,585,us_house_of_representatives_district_10
burke_0051,389,780,us_house_of_representatives_district_10
burke_0052,187,270,us_house_of_representatives_district_10
burke_0053,247,559,us_house_of_representatives_district_10
burke_0062,134,192,us_house_of_representatives_district_10
burke_0064,91,227,us_house_of_representatives_district_10
burke_0065,104,308,us_house_of_representatives_district_10
burke_0066,238,435,us_house_of_representatives_district_10
burke_0070,295,704,us_house_of_representatives_district_10
caldwell_PR01,200,500,us_house_of_representatives_district_10
caldwell_PR02,110,303,us_house_of_representatives_district_10
caldwell_PR05,157,544,us_house_of_representatives_district_10
caldwell_PR06,130,394,us_house_of_representatives_district_10
caldwell_PR07,99,400,us_house_of_representatives_district_10
caldwell_PR08,123,236,us_house_of_representatives_district_10
caldwell_PR13,154,613,us_house_of_representatives_district_10
caldwell_PR14,169,433,us_house_of_representatives_district_10
caldwell_PR15,194,600,us_house_of_representatives_district_10
caldwell_PR16,165,168,us_house_of_representatives_district_10
caldwell_PR17,91,301,us_house_of_representatives_district_10
caldwell_PR18,266,688,us_house_of_representatives_district_10
caldwell_PR21,160,565,us_house_of_representatives_district_10
caldwell_PR22,146,581,us_house_of_representatives_district_10
caldwell_PR24,93,311,us_house_of_representatives_district_10
caldwell_PR25,102,343,us_house_of_representatives_district_10
caldwell_PR28,111,565,us_house_of_representatives_district_10
caldwell_PR29,151,323,us_house_of_representatives_district_10
caldwell_PR30,233,205,us_house_of_representatives_district_10
caldwell_PR31,124,199,us_house_of_representatives_district_10
caldwell_PR32,167,581,us_house_of_representatives_district_10
catawba_01,234,1101,us_house_of_representatives_district_10
catawba_02,191,761,us_house_of_representatives_district_10
catawba_03,243,591,us_house_of_representatives_district_10
catawba_04,126,134,us_house_of_representatives_district_10
catawba_05,430,772,us_house_of_representatives_district_10
catawba_06,291,728,us_house_of_representatives_district_10
catawba_07,385,667,us_house_of_representatives_district_10
catawba_08,325,856,us_house_of_representatives_district_10
catawba_09,197,751,us_house_of_representatives_district_10
catawba_10,146,77,us_house_of_representatives_district_10
catawba_11,159,233,us_house_of_representatives_district_10
catawba_12,480,129,us_house_of_representatives_district_10
catawba_13,229,191,us_house_of_representatives_district_10
catawba_14,264,493,us_house_of_representatives_district_10
catawba_15,288,10,us_house_of_representatives_district_10
catawba_16,290,453,us_house_of_representatives_district_10
catawba_17,188,327,us_house_of_representatives_district_10
catawba_19,176,263,us_house_of_representatives_district_10
catawba_20,325,841,us_house_of_representatives_district_10
catawba_21,115,548,us_house_of_representatives_district_10
catawba_22,394,850,us_house_of_representatives_district_10
catawba_23,470,1209,us_house_of_representatives_district_10
catawba_24,437,1225,us_house_of_representatives_district_10
catawba_25,238,428,us_house_of_representatives_district_10
catawba_26,278,577,us_house_of_representatives_district_10
catawba_27,310,1027,us_house_of_representatives_district_10
catawba_28,273,871,us_house_of_representatives_district_10
catawba_29,236,783,us_house_of_representatives_district_10
catawba_30,441,797,us_house_of_representatives_district_10
catawba_31,369,1291,us_house_of_representatives_district_10
catawba_32,487,695,us_house_of_representatives_district_10
catawba_33,604,1743,us_house_of_representatives_district_10
catawba_34,554,1530,us_house_of_representatives_district_10
catawba_35,227,510,us_house_of_representatives_district_10
catawba_36,282,766,us_house_of_representatives_district_10
catawba_37,336,545,us_house_of_representatives_district_10
catawba_38,366,888,us_house_of_representatives_district_10
catawba_39,256,857,us_house_of_representatives_district_10
catawba_40,293,401,us_house_of_representatives_district_10
catawba_41,230,1029,us_house_of_representatives_district_10
catawba_CURBSIDE,67,87,us_house_of_representatives_district_10
cleveland_B SPGS,613,1785,us_house_of_representatives_district_10
cleveland_BETHWR,152,531,us_house_of_representatives_district_10
cleveland_CASAR,72,533,us_house_of_representatives_district_10
cleveland_FALSTN,143,542,us_house_of_representatives_district_10
cleveland_GROVER,357,785,us_house_of_representatives_district_10
cleveland_H SPGS,73,170,us_house_of_representatives_district_10
cleveland_KINGST,283,157,us_house_of_representatives_district_10
cleveland_KM N,668,1124,us_house_of_representatives_district_10
cleveland_KM S,525,971,us_house_of_representatives_district_10
cleveland_LATT,250,859,us_house_of_representatives_district_10
cleveland_LAWNDL,432,396,us_house_of_representatives_district_10
cleveland_MRB-YO,143,457,us_house_of_representatives_district_10
cleveland_MULLS,187,600,us_house_of_representatives_district_10
cleveland_OAKGRV,273,1029,us_house_of_representatives_district_10
cleveland_POLKVL,242,697,us_house_of_representatives_district_10
cleveland_RIPPY,405,887,us_house_of_representatives_district_10
cleveland_S 1,369,343,us_house_of_representatives_district_10
cleveland_S 2,462,992,us_house_of_representatives_district_10
cleveland_S 3,268,343,us_house_of_representatives_district_10
cleveland_S 4,514,452,us_house_of_representatives_district_10
cleveland_S 5,498,603,us_house_of_representatives_district_10
cleveland_S 6,509,557,us_house_of_representatives_district_10
cleveland_S 7,462,806,us_house_of_representatives_district_10
cleveland_S 8,389,507,us_house_of_representatives_district_10
cleveland_SHANGI,346,751,us_house_of_representatives_district_10
cleveland_WACO,434,841,us_house_of_representatives_district_10
gaston_04,332,754,us_house_of_representatives_district_10
gaston_22,247,761,us_house_of_representatives_district_10
gaston_33,60,326,us_house_of_representatives_district_10
gaston_34,8,87,us_house_of_representatives_district_10
gaston_35,88,391,us_house_of_representatives_district_10
gaston_36,172,748,us_house_of_representatives_district_10
gaston_37,132,385,us_house_of_representatives_district_10
iredell_CC1,349,950,us_house_of_representatives_district_10
iredell_CC2,452,903,us_house_of_representatives_district_10
iredell_CC3,437,1204,us_house_of_representatives_district_10
iredell_CC4,237,761,us_house_of_representatives_district_10
iredell_DV1-A,253,1163,us_house_of_representatives_district_10
iredell_DV1-B,387,1523,us_house_of_representatives_district_10
iredell_DV2-A,160,889,us_house_of_representatives_district_10
iredell_DV2-B,207,841,us_house_of_representatives_district_10
iredell_FT,367,1363,us_house_of_representatives_district_10
iredell_SH-A,185,681,us_house_of_representatives_district_10
iredell_SH-B,167,664,us_house_of_representatives_district_10
lincoln_AS25,178,594,us_house_of_representatives_district_10
lincoln_BC13,121,202,us_house_of_representatives_district_10
lincoln_BS26,171,393,us_house_of_representatives_district_10
lincoln_CF19,107,386,us_house_of_representatives_district_10
lincoln_CR06,117,176,us_house_of_representatives_district_10
lincoln_DN29,106,539,us_house_of_representatives_district_10
lincoln_DV08,211,595,us_house_of_representatives_district_10
lincoln_DW28,144,388,us_house_of_representatives_district_10
lincoln_HG17,160,279,us_house_of_representatives_district_10
lincoln_HV07,222,544,us_house_of_representatives_district_10
lincoln_IS20,116,434,us_house_of_representatives_district_10
lincoln_IS23,173,546,us_house_of_representatives_district_10
lincoln_LI14,127,307,us_house_of_representatives_district_10
lincoln_LM16,124,273,us_house_of_representatives_district_10
lincoln_LN11,214,280,us_house_of_representatives_district_10
lincoln_LS12,186,255,us_house_of_representatives_district_10
lincoln_LS15,110,395,us_house_of_representatives_district_10
lincoln_LW18,92,231,us_house_of_representatives_district_10
lincoln_LW31,183,600,us_house_of_representatives_district_10
lincoln_NB03,71,326,us_house_of_representatives_district_10
lincoln_NB09,190,501,us_house_of_representatives_district_10
lincoln_OB21,105,583,us_house_of_representatives_district_10
lincoln_OG10,134,386,us_house_of_representatives_district_10
lincoln_PC22,130,601,us_house_of_representatives_district_10
lincoln_SL24,135,462,us_house_of_representatives_district_10
lincoln_TE27,135,394,us_house_of_representatives_district_10
lincoln_TR30,74,209,us_house_of_representatives_district_10
lincoln_WP32,309,847,us_house_of_representatives_district_10
mitchell_01,132,469,us_house_of_representatives_district_10
mitchell_02,13,131,us_house_of_representatives_district_10
mitchell_03,44,214,us_house_of_representatives_district_10
mitchell_04,609,2074,us_house_of_representatives_district_10
mitchell_05,65,310,us_house_of_representatives_district_10
mitchell_06,38,235,us_house_of_representatives_district_10
mitchell_07,8,90,us_house_of_representatives_district_10
mitchell_08,19,140,us_house_of_representatives_district_10
mitchell_09,178,408,us_house_of_representatives_district_10
rutherford_03A,130,743,us_house_of_representatives_district_10
rutherford_04A,245,686,us_house_of_representatives_district_10
rutherford_05A,275,685,us_house_of_representatives_district_10
rutherford_06A,312,699,us_house_of_representatives_district_10
rutherford_10A,68,411,us_house_of_representatives_district_10
rutherford_11,486,1527,us_house_of_representatives_district_10
rutherford_14,333,577,us_house_of_representatives_district_10
rutherford_16A,257,784,us_house_of_representatives_district_10
rutherford_18,224,509,us_house_of_representatives_district_10
rutherford_19,192,535,us_house_of_representatives_district_10
rutherford_29,222,520,us_house_of_representatives_district_10
rutherford_CURBSIDE,23,43,us_house_of_representatives_district_10
