prec_id,Heath Shuler,Jeff Miller,election
buncombe_01.1,354,52,us_house_of_representatives_district_11
buncombe_02.1,810,54,us_house_of_representatives_district_11
buncombe_03.1,565,70,us_house_of_representatives_district_11
buncombe_04.1,369,105,us_house_of_representatives_district_11
buncombe_05.1,479,216,us_house_of_representatives_district_11
buncombe_06.1,351,131,us_house_of_representatives_district_11
buncombe_07.1,353,86,us_house_of_representatives_district_11
buncombe_08.2,432,131,us_house_of_representatives_district_11
buncombe_08.3,474,119,us_house_of_representatives_district_11
buncombe_09.1,591,229,us_house_of_representatives_district_11
buncombe_10.1,399,25,us_house_of_representatives_district_11
buncombe_11.1,312,25,us_house_of_representatives_district_11
buncombe_12.1,464,90,us_house_of_representatives_district_11
buncombe_13.1,434,85,us_house_of_representatives_district_11
buncombe_14.2,412,127,us_house_of_representatives_district_11
buncombe_14.3,180,61,us_house_of_representatives_district_11
buncombe_15.1,487,114,us_house_of_representatives_district_11
buncombe_16.2,532,140,us_house_of_representatives_district_11
buncombe_17.1,348,123,us_house_of_representatives_district_11
buncombe_18.2,459,467,us_house_of_representatives_district_11
buncombe_19.1,84,80,us_house_of_representatives_district_11
buncombe_20.1,151,51,us_house_of_representatives_district_11
buncombe_21.1,514,235,us_house_of_representatives_district_11
buncombe_22.2,494,174,us_house_of_representatives_district_11
buncombe_23.2,68,36,us_house_of_representatives_district_11
buncombe_23.3,231,159,us_house_of_representatives_district_11
buncombe_24.1,312,188,us_house_of_representatives_district_11
buncombe_25.1,415,226,us_house_of_representatives_district_11
buncombe_26.1,259,102,us_house_of_representatives_district_11
buncombe_27.2,173,68,us_house_of_representatives_district_11
buncombe_28.1,441,110,us_house_of_representatives_district_11
buncombe_29.2,446,328,us_house_of_representatives_district_11
buncombe_30.2,204,180,us_house_of_representatives_district_11
buncombe_30.3,280,260,us_house_of_representatives_district_11
buncombe_31.1,277,318,us_house_of_representatives_district_11
buncombe_32.1,248,215,us_house_of_representatives_district_11
buncombe_33.2,164,146,us_house_of_representatives_district_11
buncombe_33.3,337,191,us_house_of_representatives_district_11
buncombe_34.1,224,110,us_house_of_representatives_district_11
buncombe_35.1,273,144,us_house_of_representatives_district_11
buncombe_36.1,268,217,us_house_of_representatives_district_11
buncombe_37.1,216,171,us_house_of_representatives_district_11
buncombe_38.2,198,230,us_house_of_representatives_district_11
buncombe_38.3,359,396,us_house_of_representatives_district_11
buncombe_39.2,258,215,us_house_of_representatives_district_11
buncombe_39.3,282,274,us_house_of_representatives_district_11
buncombe_40.2,455,470,us_house_of_representatives_district_11
buncombe_41.1,356,316,us_house_of_representatives_district_11
buncombe_42.1,271,214,us_house_of_representatives_district_11
buncombe_43.2,204,155,us_house_of_representatives_district_11
buncombe_44.1,489,441,us_house_of_representatives_district_11
buncombe_45.1,442,382,us_house_of_representatives_district_11
buncombe_46.1,187,151,us_house_of_representatives_district_11
buncombe_47.1,554,532,us_house_of_representatives_district_11
buncombe_48.1,390,380,us_house_of_representatives_district_11
buncombe_49.1,462,508,us_house_of_representatives_district_11
buncombe_50.1,292,243,us_house_of_representatives_district_11
buncombe_51.2,292,209,us_house_of_representatives_district_11
buncombe_52.1,353,404,us_house_of_representatives_district_11
buncombe_53.1,373,289,us_house_of_representatives_district_11
buncombe_54.2,361,251,us_house_of_representatives_district_11
buncombe_55.1,440,378,us_house_of_representatives_district_11
buncombe_56.2,341,251,us_house_of_representatives_district_11
buncombe_57.1,413,411,us_house_of_representatives_district_11
buncombe_58.1,257,210,us_house_of_representatives_district_11
buncombe_59.1,483,414,us_house_of_representatives_district_11
