prec_id,Brad Miller,William (Bill) Randall,election
alamance_063,542,369,us_house_of_representatives_district_13
alamance_06N,434,257,us_house_of_representatives_district_13
alamance_11,857,471,us_house_of_representatives_district_13
alamance_127,982,351,us_house_of_representatives_district_13
alamance_128,364,176,us_house_of_representatives_district_13
alamance_12E,279,204,us_house_of_representatives_district_13
alamance_12N,1059,141,us_house_of_representatives_district_13
alamance_12S,219,114,us_house_of_representatives_district_13
alamance_13,782,552,us_house_of_representatives_district_13
caswell_ANDE,164,234,us_house_of_representatives_district_13
caswell_HIGH,277,161,us_house_of_representatives_district_13
caswell_LEAS,186,114,us_house_of_representatives_district_13
caswell_LOCU,601,300,us_house_of_representatives_district_13
caswell_MILT,703,305,us_house_of_representatives_district_13
caswell_PELH,576,690,us_house_of_representatives_district_13
caswell_PROS,175,241,us_house_of_representatives_district_13
caswell_PROVI,198,207,us_house_of_representatives_district_13
caswell_STON,398,456,us_house_of_representatives_district_13
caswell_YAN2,331,237,us_house_of_representatives_district_13
caswell_YAN4,293,121,us_house_of_representatives_district_13
caswell_CURBSIDE,0,0,us_house_of_representatives_district_13
granville_ANTI,427,142,us_house_of_representatives_district_13
granville_BERE,323,368,us_house_of_representatives_district_13
granville_BTNR,631,519,us_house_of_representatives_district_13
granville_CORI,463,410,us_house_of_representatives_district_13
granville_CRDM,841,823,us_house_of_representatives_district_13
granville_MTEN,556,779,us_house_of_representatives_district_13
granville_OKHL,344,242,us_house_of_representatives_district_13
granville_SASS,431,338,us_house_of_representatives_district_13
granville_TYHO,479,876,us_house_of_representatives_district_13
granville_WILT,612,1359,us_house_of_representatives_district_13
guilford_CG3A,407,494,us_house_of_representatives_district_13
guilford_CG3B,562,689,us_house_of_representatives_district_13
guilford_G01,267,47,us_house_of_representatives_district_13
guilford_G02,215,107,us_house_of_representatives_district_13
guilford_G03,746,32,us_house_of_representatives_district_13
guilford_G05,640,17,us_house_of_representatives_district_13
guilford_G06,690,28,us_house_of_representatives_district_13
guilford_G07,397,174,us_house_of_representatives_district_13
guilford_G08,521,197,us_house_of_representatives_district_13
guilford_G09,599,160,us_house_of_representatives_district_13
guilford_G10,766,218,us_house_of_representatives_district_13
guilford_G11,437,164,us_house_of_representatives_district_13
guilford_G12,367,99,us_house_of_representatives_district_13
guilford_G13,464,227,us_house_of_representatives_district_13
guilford_G14,454,231,us_house_of_representatives_district_13
guilford_G15,408,241,us_house_of_representatives_district_13
guilford_G17,432,436,us_house_of_representatives_district_13
guilford_G23,334,296,us_house_of_representatives_district_13
guilford_G24,334,156,us_house_of_representatives_district_13
guilford_G25,410,371,us_house_of_representatives_district_13
guilford_G26,768,327,us_house_of_representatives_district_13
guilford_G28,317,245,us_house_of_representatives_district_13
guilford_G29,295,264,us_house_of_representatives_district_13
guilford_G36,413,435,us_house_of_representatives_district_13
guilford_G37,526,294,us_house_of_representatives_district_13
guilford_G38,578,532,us_house_of_representatives_district_13
guilford_G39,367,298,us_house_of_representatives_district_13
guilford_G44,386,120,us_house_of_representatives_district_13
guilford_G45,242,60,us_house_of_representatives_district_13
guilford_G47,500,144,us_house_of_representatives_district_13
guilford_G48,593,265,us_house_of_representatives_district_13
guilford_G49,220,71,us_house_of_representatives_district_13
guilford_G50,433,176,us_house_of_representatives_district_13
guilford_G51,392,245,us_house_of_representatives_district_13
guilford_G56,542,147,us_house_of_representatives_district_13
guilford_G58,429,135,us_house_of_representatives_district_13
guilford_G59,246,57,us_house_of_representatives_district_13
guilford_G60,325,184,us_house_of_representatives_district_13
guilford_G72,686,43,us_house_of_representatives_district_13
guilford_JEF2,354,209,us_house_of_representatives_district_13
guilford_MON2A,711,335,us_house_of_representatives_district_13
guilford_MON2B,436,262,us_house_of_representatives_district_13
guilford_NMAD,354,479,us_house_of_representatives_district_13
person_ALVI,455,390,us_house_of_representatives_district_13
person_BFRK,229,375,us_house_of_representatives_district_13
person_CUCL,366,431,us_house_of_representatives_district_13
person_FLRI,732,1249,us_house_of_representatives_district_13
person_HLWY,193,235,us_house_of_representatives_district_13
person_HUML,163,202,us_house_of_representatives_district_13
person_MTTZ,377,651,us_house_of_representatives_district_13
person_OLHI,295,479,us_house_of_representatives_district_13
person_ROX1,580,256,us_house_of_representatives_district_13
person_ROX2,410,415,us_house_of_representatives_district_13
person_ROX3,506,264,us_house_of_representatives_district_13
person_ROX4,387,260,us_house_of_representatives_district_13
person_RX1A,463,593,us_house_of_representatives_district_13
person_WDSD,253,177,us_house_of_representatives_district_13
rockingham_DR,409,464,us_house_of_representatives_district_13
rockingham_EC,752,1059,us_house_of_representatives_district_13
rockingham_ED-1,678,951,us_house_of_representatives_district_13
rockingham_HO,93,149,us_house_of_representatives_district_13
rockingham_IR,358,692,us_house_of_representatives_district_13
rockingham_LI,697,922,us_house_of_representatives_district_13
rockingham_LK-2,655,906,us_house_of_representatives_district_13
