prec_id,Bob Etheridge,Renee Ellmers,Tom Rose,election
chatham_3,191,383,19,us_house_of_representatives_district_2
chatham_6,109,267,5,us_house_of_representatives_district_2
chatham_9,162,354,8,us_house_of_representatives_district_2
chatham_18,348,464,11,us_house_of_representatives_district_2
chatham_20,248,403,21,us_house_of_representatives_district_2
chatham_21,42,53,2,us_house_of_representatives_district_2
chatham_24,44,277,4,us_house_of_representatives_district_2
chatham_30,162,223,10,us_house_of_representatives_district_2
chatham_45,164,202,13,us_house_of_representatives_district_2
chatham_85,217,252,10,us_house_of_representatives_district_2
chatham_ESC114,474,385,13,us_house_of_representatives_district_2
chatham_PIT113,696,477,38,us_house_of_representatives_district_2
cumberland_CL57,1356,468,23,us_house_of_representatives_district_2
cumberland_CC03,189,104,5,us_house_of_representatives_district_2
cumberland_CC05,573,73,15,us_house_of_representatives_district_2
cumberland_G2A,1069,594,19,us_house_of_representatives_district_2
cumberland_CC13,494,34,6,us_house_of_representatives_district_2
cumberland_CC16,980,31,9,us_house_of_representatives_district_2
cumberland_CC17,802,120,8,us_house_of_representatives_district_2
cumberland_CC19,312,11,3,us_house_of_representatives_district_2
cumberland_CC21,732,370,18,us_house_of_representatives_district_2
cumberland_G2B,744,562,26,us_house_of_representatives_district_2
cumberland_G2C,14,12,0,us_house_of_representatives_district_2
cumberland_CC26,854,284,17,us_house_of_representatives_district_2
cumberland_CC32,352,101,8,us_house_of_representatives_district_2
cumberland_CC33,533,424,16,us_house_of_representatives_district_2
cumberland_G11B,202,142,10,us_house_of_representatives_district_2
cumberland_G11A,994,254,14,us_house_of_representatives_district_2
cumberland_G2E,1170,278,27,us_house_of_representatives_district_2
franklin_01,600,303,10,us_house_of_representatives_district_2
franklin_02,421,280,8,us_house_of_representatives_district_2
franklin_03,680,617,23,us_house_of_representatives_district_2
franklin_05,322,540,10,us_house_of_representatives_district_2
franklin_06,430,306,17,us_house_of_representatives_district_2
franklin_07,176,464,26,us_house_of_representatives_district_2
franklin_08,408,596,34,us_house_of_representatives_district_2
franklin_09,325,371,16,us_house_of_representatives_district_2
franklin_10,230,267,7,us_house_of_representatives_district_2
franklin_11,483,241,11,us_house_of_representatives_district_2
franklin_12,304,269,17,us_house_of_representatives_district_2
franklin_13,293,541,23,us_house_of_representatives_district_2
franklin_14,558,973,33,us_house_of_representatives_district_2
franklin_15,885,339,23,us_house_of_representatives_district_2
franklin_16,614,365,13,us_house_of_representatives_district_2
franklin_17,429,827,34,us_house_of_representatives_district_2
franklin_18,339,688,29,us_house_of_representatives_district_2
franklin_19,546,1018,49,us_house_of_representatives_district_2
harnett_PR01,536,904,37,us_house_of_representatives_district_2
harnett_PR07,692,899,38,us_house_of_representatives_district_2
harnett_PR08,635,1084,41,us_house_of_representatives_district_2
harnett_PR16,537,645,32,us_house_of_representatives_district_2
harnett_PR17,323,230,10,us_house_of_representatives_district_2
harnett_PR20,481,305,16,us_house_of_representatives_district_2
harnett_PR23,527,626,30,us_house_of_representatives_district_2
harnett_PR24,504,1295,47,us_house_of_representatives_district_2
harnett_PR25,593,641,18,us_house_of_representatives_district_2
harnett_PR26,408,823,28,us_house_of_representatives_district_2
harnett_PR27,354,630,20,us_house_of_representatives_district_2
harnett_PR28,403,1194,36,us_house_of_representatives_district_2
harnett_PR29,500,1003,25,us_house_of_representatives_district_2
johnston_PR01,136,345,14,us_house_of_representatives_district_2
johnston_PR02,136,261,6,us_house_of_representatives_district_2
johnston_PR03,242,611,13,us_house_of_representatives_district_2
johnston_PR04,216,283,10,us_house_of_representatives_district_2
johnston_PR05,121,294,5,us_house_of_representatives_district_2
johnston_PR06,177,488,12,us_house_of_representatives_district_2
johnston_PR07,299,767,12,us_house_of_representatives_district_2
johnston_PR08,141,542,14,us_house_of_representatives_district_2
johnston_PR09,374,734,22,us_house_of_representatives_district_2
johnston_PR10A,307,245,15,us_house_of_representatives_district_2
johnston_PR10B,144,376,6,us_house_of_representatives_district_2
johnston_PR11A,265,424,21,us_house_of_representatives_district_2
johnston_PR11B,344,637,31,us_house_of_representatives_district_2
johnston_PR12A,284,637,12,us_house_of_representatives_district_2
johnston_PR12B,258,464,17,us_house_of_representatives_district_2
johnston_PR13,205,518,26,us_house_of_representatives_district_2
