prec_id,Johnny G. Rouse,Walter B. Jones,Darryl Holloman,election
beaufort_BEADM,47,487,8,us_house_of_representatives_district_3
beaufort_BELHV,214,367,15,us_house_of_representatives_district_3
beaufort_GILEA,107,321,13,us_house_of_representatives_district_3
beaufort_HB,33,276,9,us_house_of_representatives_district_3
beaufort_NCRK,90,400,13,us_house_of_representatives_district_3
beaufort_OLDF,145,280,10,us_house_of_representatives_district_3
beaufort_PANTE,158,346,5,us_house_of_representatives_district_3
beaufort_PINET,21,295,3,us_house_of_representatives_district_3
beaufort_RVRD,130,460,12,us_house_of_representatives_district_3
beaufort_SURBA,104,650,20,us_house_of_representatives_district_3
beaufort_TCRK,133,578,23,us_house_of_representatives_district_3
beaufort_WASH4,160,321,10,us_house_of_representatives_district_3
beaufort_WASHP,88,341,12,us_house_of_representatives_district_3
beaufort_WDPD,49,384,4,us_house_of_representatives_district_3
camden_CH,190,460,22,us_house_of_representatives_district_3
camden_SH,109,409,18,us_house_of_representatives_district_3
camden_SM,215,464,28,us_house_of_representatives_district_3
carteret_ABCH,79,356,7,us_house_of_representatives_district_3
carteret_ATLN,53,175,6,us_house_of_representatives_district_3
carteret_BCRK,86,481,15,us_house_of_representatives_district_3
carteret_BETT,12,109,4,us_house_of_representatives_district_3
carteret_BFT1,169,178,12,us_house_of_representatives_district_3
carteret_BFT2,210,452,31,us_house_of_representatives_district_3
carteret_BOGU,100,462,22,us_house_of_representatives_district_3
carteret_CCCP,75,437,17,us_house_of_representatives_district_3
carteret_CDIS,19,79,0,us_house_of_representatives_district_3
carteret_DAVI,29,109,5,us_house_of_representatives_district_3
carteret_EMIS,181,677,21,us_house_of_representatives_district_3
carteret_HAIS,81,337,8,us_house_of_representatives_district_3
carteret_HARL,17,177,9,us_house_of_representatives_district_3
carteret_IBSP,41,87,4,us_house_of_representatives_district_3
carteret_MARS,45,119,4,us_house_of_representatives_district_3
carteret_MCRK,13,187,6,us_house_of_representatives_district_3
carteret_MERR,49,134,3,us_house_of_representatives_district_3
carteret_MHD1,179,419,15,us_house_of_representatives_district_3
carteret_MHD2,176,400,23,us_house_of_representatives_district_3
carteret_MHD3,155,534,15,us_house_of_representatives_district_3
carteret_MHD4,129,616,32,us_house_of_representatives_district_3
carteret_NPT1,186,822,41,us_house_of_representatives_district_3
carteret_NPT2,76,658,18,us_house_of_representatives_district_3
carteret_NRIV,114,54,1,us_house_of_representatives_district_3
carteret_OTST,69,456,15,us_house_of_representatives_district_3
carteret_PELE,38,220,9,us_house_of_representatives_district_3
carteret_PKNL,128,403,18,us_house_of_representatives_district_3
carteret_SLVL,27,65,0,us_house_of_representatives_district_3
carteret_SMYR,21,75,4,us_house_of_representatives_district_3
carteret_STAC,6,64,0,us_house_of_representatives_district_3
carteret_STEL,37,230,8,us_house_of_representatives_district_3
carteret_WILD,120,550,26,us_house_of_representatives_district_3
carteret_WILL,23,101,1,us_house_of_representatives_district_3
carteret_WIRE,90,225,9,us_house_of_representatives_district_3
craven_03,300,1691,45,us_house_of_representatives_district_3
craven_05,324,989,65,us_house_of_representatives_district_3
craven_11,118,824,27,us_house_of_representatives_district_3
