prec_id,Mike McIntyre,Ilario Gregory Pantano,election
bladen_P10,173,74,us_house_of_representatives_district_7
bladen_P15,244,270,us_house_of_representatives_district_7
bladen_P201,186,147,us_house_of_representatives_district_7
bladen_P202,291,208,us_house_of_representatives_district_7
bladen_P25,300,107,us_house_of_representatives_district_7
bladen_P30,170,26,us_house_of_representatives_district_7
bladen_P35,112,50,us_house_of_representatives_district_7
bladen_P40,203,173,us_house_of_representatives_district_7
bladen_P45,100,90,us_house_of_representatives_district_7
bladen_P501,412,134,us_house_of_representatives_district_7
bladen_P502,175,79,us_house_of_representatives_district_7
bladen_P55,186,89,us_house_of_representatives_district_7
bladen_P60,312,130,us_house_of_representatives_district_7
bladen_P65,96,100,us_house_of_representatives_district_7
bladen_P70,98,44,us_house_of_representatives_district_7
bladen_P75,274,77,us_house_of_representatives_district_7
bladen_P80,177,147,us_house_of_representatives_district_7
bladen_CURBSIDE,0,0,us_house_of_representatives_district_7
brunswick_01,432,297,us_house_of_representatives_district_7
brunswick_02,790,612,us_house_of_representatives_district_7
brunswick_03,403,191,us_house_of_representatives_district_7
brunswick_04A,1155,1415,us_house_of_representatives_district_7
brunswick_04B,646,800,us_house_of_representatives_district_7
brunswick_04C,396,555,us_house_of_representatives_district_7
brunswick_05,616,839,us_house_of_representatives_district_7
brunswick_06,391,388,us_house_of_representatives_district_7
brunswick_07,653,677,us_house_of_representatives_district_7
brunswick_08,892,967,us_house_of_representatives_district_7
brunswick_09,320,336,us_house_of_representatives_district_7
brunswick_10,1421,2178,us_house_of_representatives_district_7
brunswick_11,679,322,us_house_of_representatives_district_7
brunswick_12,672,711,us_house_of_representatives_district_7
brunswick_13,630,622,us_house_of_representatives_district_7
brunswick_14,983,1207,us_house_of_representatives_district_7
brunswick_15,916,1368,us_house_of_representatives_district_7
brunswick_16,921,1456,us_house_of_representatives_district_7
brunswick_17,1090,1277,us_house_of_representatives_district_7
brunswick_18,408,415,us_house_of_representatives_district_7
brunswick_19,775,1233,us_house_of_representatives_district_7
brunswick_20,649,922,us_house_of_representatives_district_7
brunswick_21,736,1287,us_house_of_representatives_district_7
brunswick_22,499,610,us_house_of_representatives_district_7
brunswick_23,568,656,us_house_of_representatives_district_7
brunswick_CURBSIDE,78,50,us_house_of_representatives_district_7
columbus_P01A,371,191,us_house_of_representatives_district_7
columbus_P02A,243,54,us_house_of_representatives_district_7
columbus_P03,133,93,us_house_of_representatives_district_7
columbus_P04,76,45,us_house_of_representatives_district_7
columbus_P05,105,48,us_house_of_representatives_district_7
