prec_id,Jeff Doctor,Sue Myrick,election
gaston_01,95,231,us_house_of_representatives_district_9
gaston_02,221,287,us_house_of_representatives_district_9
gaston_03,159,181,us_house_of_representatives_district_9
gaston_05,176,175,us_house_of_representatives_district_9
gaston_06,277,100,us_house_of_representatives_district_9
gaston_07,245,9,us_house_of_representatives_district_9
gaston_08,198,154,us_house_of_representatives_district_9
gaston_09,153,280,us_house_of_representatives_district_9
gaston_10,273,527,us_house_of_representatives_district_9
gaston_11,118,192,us_house_of_representatives_district_9
gaston_12,120,496,us_house_of_representatives_district_9
gaston_13,198,476,us_house_of_representatives_district_9
gaston_14,120,309,us_house_of_representatives_district_9
gaston_15,358,1072,us_house_of_representatives_district_9
gaston_16,179,761,us_house_of_representatives_district_9
gaston_17,257,753,us_house_of_representatives_district_9
gaston_18,376,1030,us_house_of_representatives_district_9
gaston_19,265,775,us_house_of_representatives_district_9
gaston_20,93,664,us_house_of_representatives_district_9
gaston_21,187,369,us_house_of_representatives_district_9
gaston_23,219,606,us_house_of_representatives_district_9
gaston_24,190,551,us_house_of_representatives_district_9
gaston_25,84,407,us_house_of_representatives_district_9
gaston_26,128,478,us_house_of_representatives_district_9
gaston_27,220,917,us_house_of_representatives_district_9
gaston_28,181,843,us_house_of_representatives_district_9
gaston_29,168,901,us_house_of_representatives_district_9
gaston_30,94,428,us_house_of_representatives_district_9
gaston_31,157,780,us_house_of_representatives_district_9
gaston_32,127,537,us_house_of_representatives_district_9
gaston_34,78,296,us_house_of_representatives_district_9
gaston_38,107,493,us_house_of_representatives_district_9
gaston_39,84,824,us_house_of_representatives_district_9
gaston_40,201,544,us_house_of_representatives_district_9
gaston_41,90,463,us_house_of_representatives_district_9
gaston_42,105,576,us_house_of_representatives_district_9
gaston_43,196,719,us_house_of_representatives_district_9
gaston_44,313,982,us_house_of_representatives_district_9
gaston_45,187,451,us_house_of_representatives_district_9
gaston_46,189,787,us_house_of_representatives_district_9
mecklenburg_1,218,498,us_house_of_representatives_district_9
mecklenburg_8,268,809,us_house_of_representatives_district_9
mecklenburg_9,512,582,us_house_of_representatives_district_9
mecklenburg_10,442,496,us_house_of_representatives_district_9
mecklenburg_18,169,732,us_house_of_representatives_district_9
mecklenburg_19,263,573,us_house_of_representatives_district_9
mecklenburg_20,407,542,us_house_of_representatives_district_9
mecklenburg_21,338,332,us_house_of_representatives_district_9
mecklenburg_32,204,871,us_house_of_representatives_district_9
mecklenburg_35,266,408,us_house_of_representatives_district_9
mecklenburg_36,416,800,us_house_of_representatives_district_9
mecklenburg_37,274,498,us_house_of_representatives_district_9
mecklenburg_38,283,322,us_house_of_representatives_district_9
mecklenburg_47,290,739,us_house_of_representatives_district_9
mecklenburg_48,220,822,us_house_of_representatives_district_9
mecklenburg_49,283,533,us_house_of_representatives_district_9
mecklenburg_50,271,416,us_house_of_representatives_district_9
