prec_id,Ruth Samuelson,election
mecklenburg_7,525,nc_house_of_representatives_district_104
mecklenburg_35,715,nc_house_of_representatives_district_104
mecklenburg_36,1225,nc_house_of_representatives_district_104
mecklenburg_47,773,nc_house_of_representatives_district_104
mecklenburg_48,1085,nc_house_of_representatives_district_104
mecklenburg_64,338,nc_house_of_representatives_district_104
mecklenburg_65,676,nc_house_of_representatives_district_104
mecklenburg_66,688,nc_house_of_representatives_district_104
mecklenburg_67,772,nc_house_of_representatives_district_104
mecklenburg_68,618,nc_house_of_representatives_district_104
mecklenburg_69,2063,nc_house_of_representatives_district_104
mecklenburg_70,1147,nc_house_of_representatives_district_104
mecklenburg_71,1031,nc_house_of_representatives_district_104
mecklenburg_72,786,nc_house_of_representatives_district_104
mecklenburg_73,848,nc_house_of_representatives_district_104
mecklenburg_74,1220,nc_house_of_representatives_district_104
mecklenburg_85,787,nc_house_of_representatives_district_104
mecklenburg_86,578,nc_house_of_representatives_district_104
mecklenburg_90,801,nc_house_of_representatives_district_104
mecklenburg_91,267,nc_house_of_representatives_district_104
mecklenburg_96,857,nc_house_of_representatives_district_104
mecklenburg_100,1208,nc_house_of_representatives_district_104
mecklenburg_103,1634,nc_house_of_representatives_district_104
mecklenburg_106,877,nc_house_of_representatives_district_104
mecklenburg_110,728,nc_house_of_representatives_district_104
mecklenburg_111,1310,nc_house_of_representatives_district_104
mecklenburg_118,1335,nc_house_of_representatives_district_104
mecklenburg_119,684,nc_house_of_representatives_district_104
mecklenburg_121,754,nc_house_of_representatives_district_104
mecklenburg_131,924,nc_house_of_representatives_district_104
mecklenburg_217,280,nc_house_of_representatives_district_104
mecklenburg_226,331,nc_house_of_representatives_district_104
mecklenburg_CURBSIDE,109,nc_house_of_representatives_district_104
