prec_id,Jacqueline Schaffer,election
mecklenburg_87,513,nc_house_of_representatives_district_105
mecklenburg_88,75,nc_house_of_representatives_district_105
mecklenburg_91,719,nc_house_of_representatives_district_105
mecklenburg_112,1146,nc_house_of_representatives_district_105
mecklenburg_113,1757,nc_house_of_representatives_district_105
mecklenburg_121,1312,nc_house_of_representatives_district_105
mecklenburg_129,403,nc_house_of_representatives_district_105
mecklenburg_137,2794,nc_house_of_representatives_district_105
mecklenburg_139.1,1642,nc_house_of_representatives_district_105
mecklenburg_140,2491,nc_house_of_representatives_district_105
mecklenburg_144,1724,nc_house_of_representatives_district_105
mecklenburg_148,3977,nc_house_of_representatives_district_105
mecklenburg_225,454,nc_house_of_representatives_district_105
mecklenburg_227,1665,nc_house_of_representatives_district_105
mecklenburg_231,1499,nc_house_of_representatives_district_105
mecklenburg_232,2302,nc_house_of_representatives_district_105
mecklenburg_CURBSIDE,82,nc_house_of_representatives_district_105
