prec_id,George Alley,Chris Whitmire,election
henderson_AR,272,549,nc_house_of_representatives_district_113
henderson_AT,602,1313,nc_house_of_representatives_district_113
henderson_CB,217,506,nc_house_of_representatives_district_113
henderson_EF,474,878,nc_house_of_representatives_district_113
henderson_ES,436,769,nc_house_of_representatives_district_113
henderson_EV,500,1113,nc_house_of_representatives_district_113
henderson_FR,688,1365,nc_house_of_representatives_district_113
henderson_GR,382,1132,nc_house_of_representatives_district_113
henderson_HS,468,1008,nc_house_of_representatives_district_113
henderson_RR,222,350,nc_house_of_representatives_district_113
henderson_CURBSIDE,94,189,nc_house_of_representatives_district_113
polk_CG05,238,609,nc_house_of_representatives_district_113
polk_CL07,753,851,nc_house_of_representatives_district_113
polk_CL08,711,968,nc_house_of_representatives_district_113
polk_GC09,711,1023,nc_house_of_representatives_district_113
polk_SA04,376,615,nc_house_of_representatives_district_113
polk_TR123,1336,776,nc_house_of_representatives_district_113
polk_WO06,510,633,nc_house_of_representatives_district_113
polk_ACCUMULATED,0,0,nc_house_of_representatives_district_113
transylvania_B1,556,630,nc_house_of_representatives_district_113
transylvania_B2,559,461,nc_house_of_representatives_district_113
transylvania_B3,538,705,nc_house_of_representatives_district_113
transylvania_B4,491,527,nc_house_of_representatives_district_113
transylvania_BD,558,1061,nc_house_of_representatives_district_113
transylvania_CC,392,1106,nc_house_of_representatives_district_113
transylvania_CM,206,301,nc_house_of_representatives_district_113
transylvania_DR,640,994,nc_house_of_representatives_district_113
transylvania_EF,239,398,nc_house_of_representatives_district_113
transylvania_LR,335,746,nc_house_of_representatives_district_113
transylvania_PF,324,581,nc_house_of_representatives_district_113
transylvania_RE,221,921,nc_house_of_representatives_district_113
transylvania_TC1,115,429,nc_house_of_representatives_district_113
transylvania_TC7,251,807,nc_house_of_representatives_district_113
transylvania_WC,406,744,nc_house_of_representatives_district_113
