prec_id,Susan C. Fisher,election
buncombe_01.1,390,nc_house_of_representatives_district_114
buncombe_02.1,760,nc_house_of_representatives_district_114
buncombe_03.1,515,nc_house_of_representatives_district_114
buncombe_04.1,289,nc_house_of_representatives_district_114
buncombe_05.1,212,nc_house_of_representatives_district_114
buncombe_06.1,298,nc_house_of_representatives_district_114
buncombe_07.1,276,nc_house_of_representatives_district_114
buncombe_08.2,411,nc_house_of_representatives_district_114
buncombe_08.3,414,nc_house_of_representatives_district_114
buncombe_09.1,659,nc_house_of_representatives_district_114
buncombe_10.1,416,nc_house_of_representatives_district_114
buncombe_11.1,301,nc_house_of_representatives_district_114
buncombe_12.1,407,nc_house_of_representatives_district_114
buncombe_13.1,475,nc_house_of_representatives_district_114
buncombe_14.2,417,nc_house_of_representatives_district_114
buncombe_14.3,223,nc_house_of_representatives_district_114
buncombe_15.1,410,nc_house_of_representatives_district_114
buncombe_16.2,491,nc_house_of_representatives_district_114
buncombe_17.1,336,nc_house_of_representatives_district_114
buncombe_19.1,116,nc_house_of_representatives_district_114
buncombe_20.1,135,nc_house_of_representatives_district_114
buncombe_21.1,444,nc_house_of_representatives_district_114
buncombe_22.2,247,nc_house_of_representatives_district_114
buncombe_23.2,68,nc_house_of_representatives_district_114
buncombe_23.3,176,nc_house_of_representatives_district_114
buncombe_24.1,255,nc_house_of_representatives_district_114
buncombe_25.1,2,nc_house_of_representatives_district_114
buncombe_26.1,313,nc_house_of_representatives_district_114
buncombe_27.2,122,nc_house_of_representatives_district_114
buncombe_28.1,382,nc_house_of_representatives_district_114
buncombe_29.2,147,nc_house_of_representatives_district_114
buncombe_42.1,388,nc_house_of_representatives_district_114
buncombe_43.2,272,nc_house_of_representatives_district_114
buncombe_57.1,30,nc_house_of_representatives_district_114
buncombe_60.2,25,nc_house_of_representatives_district_114
buncombe_60.4,134,nc_house_of_representatives_district_114
buncombe_62.1,1,nc_house_of_representatives_district_114
buncombe_64.1,75,nc_house_of_representatives_district_114
buncombe_66.1,272,nc_house_of_representatives_district_114
buncombe_70.1,330,nc_house_of_representatives_district_114
