prec_id,Ray Rapp,Michele D. Presnell,election
haywood_BC,9,12,nc_house_of_representatives_district_118
haywood_BE-1,371,431,nc_house_of_representatives_district_118
haywood_BE-2,347,316,nc_house_of_representatives_district_118
haywood_BE-3,535,634,nc_house_of_representatives_district_118
haywood_BE-4,410,571,nc_house_of_representatives_district_118
haywood_BE56,602,488,nc_house_of_representatives_district_118
haywood_BE-7,293,451,nc_house_of_representatives_district_118
haywood_CE,84,180,nc_house_of_representatives_district_118
haywood_CL-N,646,660,nc_house_of_representatives_district_118
haywood_CL-S,724,715,nc_house_of_representatives_district_118
haywood_CR,510,466,nc_house_of_representatives_district_118
haywood_EF,286,451,nc_house_of_representatives_district_118
haywood_FC-1,242,205,nc_house_of_representatives_district_118
haywood_FC-2,55,68,nc_house_of_representatives_district_118
haywood_IH,842,988,nc_house_of_representatives_district_118
haywood_JC,922,920,nc_house_of_representatives_district_118
haywood_P,654,1029,nc_house_of_representatives_district_118
haywood_PC,295,459,nc_house_of_representatives_district_118
haywood_WO,89,90,nc_house_of_representatives_district_118
madison_BEECH,734,766,nc_house_of_representatives_district_118
madison_EBBS C,249,374,nc_house_of_representatives_district_118
madison_GRAPEV,313,312,nc_house_of_representatives_district_118
madison_HOT SP,302,193,nc_house_of_representatives_district_118
madison_LAUREL,268,245,nc_house_of_representatives_district_118
madison_MARS H,1161,926,nc_house_of_representatives_district_118
madison_NORTH,807,604,nc_house_of_representatives_district_118
madison_REVERE,113,49,nc_house_of_representatives_district_118
madison_SANDY,152,125,nc_house_of_representatives_district_118
madison_SOUTH,325,258,nc_house_of_representatives_district_118
madison_SPRING,296,162,nc_house_of_representatives_district_118
madison_WALNUT,382,380,nc_house_of_representatives_district_118
madison_CURBSIDE,43,27,nc_house_of_representatives_district_118
yancey_01 BUR,1170,1080,nc_house_of_representatives_district_118
yancey_02 CAN,383,496,nc_house_of_representatives_district_118
yancey_03 EGY,157,159,nc_house_of_representatives_district_118
yancey_04 RAM,110,128,nc_house_of_representatives_district_118
yancey_05 GRE,169,168,nc_house_of_representatives_district_118
yancey_06 JAC,504,451,nc_house_of_representatives_district_118
yancey_07 BRU,135,122,nc_house_of_representatives_district_118
yancey_08 CRA,751,1024,nc_house_of_representatives_district_118
yancey_09 SOU,645,638,nc_house_of_representatives_district_118
yancey_10 PEN,149,213,nc_house_of_representatives_district_118
yancey_11 PRI,333,465,nc_house_of_representatives_district_118
yancey_ACCUMULATED,0,0,nc_house_of_representatives_district_118
