prec_id,Joe Sam Queen,Mike Clampitt,election
haywood_AC,626,622,nc_house_of_representatives_district_119
haywood_HA,321,215,nc_house_of_representatives_district_119
haywood_ID,295,294,nc_house_of_representatives_district_119
haywood_IH,172,148,nc_house_of_representatives_district_119
haywood_LJ,701,529,nc_house_of_representatives_district_119
haywood_SA,649,676,nc_house_of_representatives_district_119
haywood_WC,249,149,nc_house_of_representatives_district_119
haywood_WE,573,445,nc_house_of_representatives_district_119
haywood_WS-1,759,655,nc_house_of_representatives_district_119
haywood_WS-2,675,516,nc_house_of_representatives_district_119
haywood_WW,514,491,nc_house_of_representatives_district_119
jackson_BCK,303,446,nc_house_of_representatives_district_119
jackson_CAN,104,164,nc_house_of_representatives_district_119
jackson_CAS,369,765,nc_house_of_representatives_district_119
jackson_CFK,175,178,nc_house_of_representatives_district_119
jackson_CUL,1854,1307,nc_house_of_representatives_district_119
jackson_DIL,342,362,nc_house_of_representatives_district_119
jackson_GCK,321,297,nc_house_of_representatives_district_119
jackson_GLV,323,635,nc_house_of_representatives_district_119
jackson_QUA,858,821,nc_house_of_representatives_district_119
jackson_RIV,212,238,nc_house_of_representatives_district_119
jackson_SAV,297,400,nc_house_of_representatives_district_119
jackson_SCC,504,461,nc_house_of_representatives_district_119
jackson_SNW,577,421,nc_house_of_representatives_district_119
jackson_SSW,989,684,nc_house_of_representatives_district_119
jackson_WEB,708,506,nc_house_of_representatives_district_119
jackson_CURBSIDE,88,55,nc_house_of_representatives_district_119
jackson_ACCUMULATED,0,0,nc_house_of_representatives_district_119
swain_ALARKA,249,274,nc_house_of_representatives_district_119
swain_ALMOND,354,451,nc_house_of_representatives_district_119
swain_BC1,655,730,nc_house_of_representatives_district_119
swain_BC2,680,648,nc_house_of_representatives_district_119
swain_WHCH,880,648,nc_house_of_representatives_district_119
swain_ACCUMULATED,0,0,nc_house_of_representatives_district_119
