prec_id,Duane Hall,election
wake_43861,641,nc_house_of_representatives_district_11
wake_11689,592,nc_house_of_representatives_district_11
wake_14977,498,nc_house_of_representatives_district_11
wake_17533,654,nc_house_of_representatives_district_11
wake_17899,765,nc_house_of_representatives_district_11
wake_43922,484,nc_house_of_representatives_district_11
wake_43923,559,nc_house_of_representatives_district_11
wake_43924,441,nc_house_of_representatives_district_11
wake_43925,336,nc_house_of_representatives_district_11
wake_43926,496,nc_house_of_representatives_district_11
wake_43929,475,nc_house_of_representatives_district_11
wake_43932,293,nc_house_of_representatives_district_11
wake_43936,537,nc_house_of_representatives_district_11
wake_43937,18,nc_house_of_representatives_district_11
wake_43938,386,nc_house_of_representatives_district_11
wake_43939,396,nc_house_of_representatives_district_11
wake_43941,516,nc_house_of_representatives_district_11
wake_43942,414,nc_house_of_representatives_district_11
wake_43954,0,nc_house_of_representatives_district_11
wake_44136,433,nc_house_of_representatives_district_11
wake_18-01,782,nc_house_of_representatives_district_11
wake_18-04,187,nc_house_of_representatives_district_11
wake_18-06,841,nc_house_of_representatives_district_11
wake_18-08,256,nc_house_of_representatives_district_11
