prec_id,Patricia (Pat) McElraft,Wyatt Rike,election
carteret_ABCH,399,38,nc_house_of_representatives_district_13
carteret_ATCS,215,38,nc_house_of_representatives_district_13
carteret_BCRK,473,69,nc_house_of_representatives_district_13
carteret_BFT1,128,49,nc_house_of_representatives_district_13
carteret_BFT2,364,79,nc_house_of_representatives_district_13
carteret_BOGU,439,55,nc_house_of_representatives_district_13
carteret_CCCP,363,46,nc_house_of_representatives_district_13
carteret_DASW,144,25,nc_house_of_representatives_district_13
carteret_EMIS,577,81,nc_house_of_representatives_district_13
carteret_HAIS,335,22,nc_house_of_representatives_district_13
carteret_IBSP,98,19,nc_house_of_representatives_district_13
carteret_MASM,183,46,nc_house_of_representatives_district_13
carteret_MCRK,207,26,nc_house_of_representatives_district_13
carteret_MERR,128,14,nc_house_of_representatives_district_13
carteret_MHD1,418,125,nc_house_of_representatives_district_13
carteret_MHD2,496,113,nc_house_of_representatives_district_13
carteret_MHD3,699,119,nc_house_of_representatives_district_13
carteret_MHD4,540,56,nc_house_of_representatives_district_13
carteret_NPT1,568,96,nc_house_of_representatives_district_13
carteret_NPT2,618,83,nc_house_of_representatives_district_13
carteret_NRIV,50,18,nc_house_of_representatives_district_13
carteret_OTBE,463,75,nc_house_of_representatives_district_13
carteret_PELE,210,21,nc_house_of_representatives_district_13
carteret_PKNL,386,46,nc_house_of_representatives_district_13
carteret_STEL,311,46,nc_house_of_representatives_district_13
carteret_WIHA,326,57,nc_house_of_representatives_district_13
carteret_WILD,452,67,nc_house_of_representatives_district_13
jones_P01,171,31,nc_house_of_representatives_district_13
jones_P02,156,16,nc_house_of_representatives_district_13
jones_P03,201,24,nc_house_of_representatives_district_13
jones_P04,424,48,nc_house_of_representatives_district_13
jones_P05,246,63,nc_house_of_representatives_district_13
jones_P06,233,32,nc_house_of_representatives_district_13
jones_P07,331,54,nc_house_of_representatives_district_13
