prec_id,Larry M. Bell,election
duplin_CHAR,314,nc_house_of_representatives_district_21
duplin_FAIS,70,nc_house_of_representatives_district_21
duplin_KENA,149,nc_house_of_representatives_district_21
duplin_MAGN,281,nc_house_of_representatives_district_21
duplin_ROCK,230,nc_house_of_representatives_district_21
duplin_ROSE,366,nc_house_of_representatives_district_21
duplin_WALL,258,nc_house_of_representatives_district_21
duplin_WARS,599,nc_house_of_representatives_district_21
sampson_CLCE,186,nc_house_of_representatives_district_21
sampson_CLEA,406,nc_house_of_representatives_district_21
sampson_CLNE,46,nc_house_of_representatives_district_21
sampson_CLSW,21,nc_house_of_representatives_district_21
sampson_CLWE,34,nc_house_of_representatives_district_21
sampson_GIDD,88,nc_house_of_representatives_district_21
sampson_HARR,466,nc_house_of_representatives_district_21
sampson_INGO,25,nc_house_of_representatives_district_21
sampson_NGRV,0,nc_house_of_representatives_district_21
sampson_ROWA,1,nc_house_of_representatives_district_21
sampson_TURK,262,nc_house_of_representatives_district_21
sampson_CURBSIDE,0,nc_house_of_representatives_district_21
wayne_6,66,nc_house_of_representatives_district_21
wayne_7,29,nc_house_of_representatives_district_21
wayne_9,1,nc_house_of_representatives_district_21
wayne_10,246,nc_house_of_representatives_district_21
wayne_11,261,nc_house_of_representatives_district_21
wayne_12,163,nc_house_of_representatives_district_21
wayne_13,217,nc_house_of_representatives_district_21
wayne_16,108,nc_house_of_representatives_district_21
wayne_17,213,nc_house_of_representatives_district_21
wayne_18,265,nc_house_of_representatives_district_21
wayne_19,263,nc_house_of_representatives_district_21
wayne_20,322,nc_house_of_representatives_district_21
wayne_21,209,nc_house_of_representatives_district_21
wayne_22,204,nc_house_of_representatives_district_21
wayne_23,37,nc_house_of_representatives_district_21
wayne_24,5,nc_house_of_representatives_district_21
wayne_25,173,nc_house_of_representatives_district_21
wayne_26,189,nc_house_of_representatives_district_21
wayne_27,200,nc_house_of_representatives_district_21
wayne_28,177,nc_house_of_representatives_district_21
wayne_29,209,nc_house_of_representatives_district_21
wayne_30,354,nc_house_of_representatives_district_21
