prec_id,Joe Tolson,election
edgecombe_0101,422,nc_house_of_representatives_district_23
edgecombe_0102,500,nc_house_of_representatives_district_23
edgecombe_0103,417,nc_house_of_representatives_district_23
edgecombe_0104,392,nc_house_of_representatives_district_23
edgecombe_0201,291,nc_house_of_representatives_district_23
edgecombe_0301,121,nc_house_of_representatives_district_23
edgecombe_0401,159,nc_house_of_representatives_district_23
edgecombe_0501,176,nc_house_of_representatives_district_23
edgecombe_0601,273,nc_house_of_representatives_district_23
edgecombe_0701,268,nc_house_of_representatives_district_23
edgecombe_0801,198,nc_house_of_representatives_district_23
edgecombe_0901,236,nc_house_of_representatives_district_23
edgecombe_1001,301,nc_house_of_representatives_district_23
edgecombe_1101,188,nc_house_of_representatives_district_23
edgecombe_1201,659,nc_house_of_representatives_district_23
edgecombe_1202,370,nc_house_of_representatives_district_23
edgecombe_1203,483,nc_house_of_representatives_district_23
edgecombe_1204,315,nc_house_of_representatives_district_23
edgecombe_1205,282,nc_house_of_representatives_district_23
edgecombe_1301,264,nc_house_of_representatives_district_23
edgecombe_1401,216,nc_house_of_representatives_district_23
martin_BG,426,nc_house_of_representatives_district_23
martin_CR,257,nc_house_of_representatives_district_23
martin_GN,342,nc_house_of_representatives_district_23
martin_GR,329,nc_house_of_representatives_district_23
martin_HM,264,nc_house_of_representatives_district_23
martin_HS,144,nc_house_of_representatives_district_23
martin_J,443,nc_house_of_representatives_district_23
martin_PP,63,nc_house_of_representatives_district_23
martin_R1,361,nc_house_of_representatives_district_23
martin_R2,418,nc_house_of_representatives_district_23
martin_W,241,nc_house_of_representatives_district_23
martin_W1,496,nc_house_of_representatives_district_23
martin_W2,554,nc_house_of_representatives_district_23
