prec_id,Janice (Jan) Mills,Jeffrey L. (Jeff) Collins,election
franklin_03,193,288,nc_house_of_representatives_district_25
franklin_05,626,766,nc_house_of_representatives_district_25
franklin_06,724,416,nc_house_of_representatives_district_25
franklin_07,343,683,nc_house_of_representatives_district_25
franklin_08,620,905,nc_house_of_representatives_district_25
franklin_09,368,495,nc_house_of_representatives_district_25
franklin_10,153,258,nc_house_of_representatives_district_25
franklin_11,25,39,nc_house_of_representatives_district_25
franklin_13,467,745,nc_house_of_representatives_district_25
franklin_14,1020,1522,nc_house_of_representatives_district_25
franklin_15,59,85,nc_house_of_representatives_district_25
franklin_16,9,33,nc_house_of_representatives_district_25
franklin_17,838,1271,nc_house_of_representatives_district_25
franklin_18,659,1046,nc_house_of_representatives_district_25
franklin_19,1144,1564,nc_house_of_representatives_district_25
nash_0001,499,635,nc_house_of_representatives_district_25
nash_0002,11,42,nc_house_of_representatives_district_25
nash_0003,91,181,nc_house_of_representatives_district_25
nash_0004,159,621,nc_house_of_representatives_district_25
nash_0005,430,508,nc_house_of_representatives_district_25
nash_0006,291,381,nc_house_of_representatives_district_25
nash_0007,2,12,nc_house_of_representatives_district_25
nash_0008,158,270,nc_house_of_representatives_district_25
nash_0011,182,192,nc_house_of_representatives_district_25
nash_0012,76,156,nc_house_of_representatives_district_25
nash_0015,136,319,nc_house_of_representatives_district_25
nash_0025,127,419,nc_house_of_representatives_district_25
nash_0026,150,633,nc_house_of_representatives_district_25
nash_0034,20,13,nc_house_of_representatives_district_25
nash_0035,144,420,nc_house_of_representatives_district_25
nash_0037,104,206,nc_house_of_representatives_district_25
nash_0038,2,3,nc_house_of_representatives_district_25
nash_0039,82,271,nc_house_of_representatives_district_25
nash_0041,61,182,nc_house_of_representatives_district_25
