prec_id,Michael H. Wray,Jesse Shearin,election
halifax_BUTWD,105,19,nc_house_of_representatives_district_27
halifax_CONC,112,13,nc_house_of_representatives_district_27
halifax_ENF1,410,54,nc_house_of_representatives_district_27
halifax_ENF 2,189,18,nc_house_of_representatives_district_27
halifax_FAUCT,263,71,nc_house_of_representatives_district_27
halifax_HAL,164,17,nc_house_of_representatives_district_27
halifax_HPR,332,86,nc_house_of_representatives_district_27
halifax_HOL,745,17,nc_house_of_representatives_district_27
halifax_LIT 1,439,25,nc_house_of_representatives_district_27
halifax_LIT 2,273,92,nc_house_of_representatives_district_27
halifax_RINGW,306,15,nc_house_of_representatives_district_27
halifax_RR1-2,250,59,nc_house_of_representatives_district_27
halifax_RR 3,209,67,nc_house_of_representatives_district_27
halifax_RR 4,233,56,nc_house_of_representatives_district_27
halifax_RR 5,140,39,nc_house_of_representatives_district_27
halifax_RR 6,167,36,nc_house_of_representatives_district_27
halifax_RR 7,176,15,nc_house_of_representatives_district_27
halifax_RR 8,188,32,nc_house_of_representatives_district_27
halifax_RR 9,390,39,nc_house_of_representatives_district_27
halifax_RR 10,452,99,nc_house_of_representatives_district_27
halifax_RR 11,390,111,nc_house_of_representatives_district_27
halifax_SN,942,166,nc_house_of_representatives_district_27
halifax_WEL 1,234,20,nc_house_of_representatives_district_27
halifax_WEL 2,149,20,nc_house_of_representatives_district_27
halifax_WEL 3,371,22,nc_house_of_representatives_district_27
northampton_CONWAY,282,50,nc_house_of_representatives_district_27
northampton_CREEKS,177,21,nc_house_of_representatives_district_27
northampton_GALATI,198,16,nc_house_of_representatives_district_27
northampton_GARYSB,380,14,nc_house_of_representatives_district_27
northampton_GASTON,424,50,nc_house_of_representatives_district_27
northampton_JACKSO,110,26,nc_house_of_representatives_district_27
northampton_LAKE G,308,72,nc_house_of_representatives_district_27
northampton_LASKER,80,22,nc_house_of_representatives_district_27
northampton_MILWAU,144,7,nc_house_of_representatives_district_27
northampton_NEWTOW,203,29,nc_house_of_representatives_district_27
northampton_PENDLE,99,9,nc_house_of_representatives_district_27
northampton_PLEASA,93,8,nc_house_of_representatives_district_27
northampton_POTECA,83,6,nc_house_of_representatives_district_27
northampton_REHOBE,92,13,nc_house_of_representatives_district_27
northampton_RICH S,280,16,nc_house_of_representatives_district_27
northampton_SEABOA,234,40,nc_house_of_representatives_district_27
northampton_SEVERN,150,16,nc_house_of_representatives_district_27
northampton_WOODLA,231,36,nc_house_of_representatives_district_27
