prec_id,"James H. (J.H.) Langdon, Jr.",election
johnston_PR04,410,nc_house_of_representatives_district_28
johnston_PR07,969,nc_house_of_representatives_district_28
johnston_PR08,730,nc_house_of_representatives_district_28
johnston_PR13,660,nc_house_of_representatives_district_28
johnston_PR14,786,nc_house_of_representatives_district_28
johnston_PR19,586,nc_house_of_representatives_district_28
johnston_PR21,773,nc_house_of_representatives_district_28
johnston_PR22,914,nc_house_of_representatives_district_28
johnston_PR23A,798,nc_house_of_representatives_district_28
johnston_PR23B,837,nc_house_of_representatives_district_28
johnston_PR24,303,nc_house_of_representatives_district_28
johnston_PR25,409,nc_house_of_representatives_district_28
johnston_PR26,214,nc_house_of_representatives_district_28
johnston_PR31A,392,nc_house_of_representatives_district_28
johnston_PR31B,747,nc_house_of_representatives_district_28
johnston_PR33,1079,nc_house_of_representatives_district_28
johnston_PR35,1543,nc_house_of_representatives_district_28
johnston_PR36,973,nc_house_of_representatives_district_28
johnston_PR37,1137,nc_house_of_representatives_district_28
johnston_PR38,257,nc_house_of_representatives_district_28
