prec_id,"H. M. (Mickey) Michaux, Jr.",election
durham_01,246,nc_house_of_representatives_district_31
durham_02,379,nc_house_of_representatives_district_31
durham_07,156,nc_house_of_representatives_district_31
durham_14,67,nc_house_of_representatives_district_31
durham_18,409,nc_house_of_representatives_district_31
durham_19,569,nc_house_of_representatives_district_31
durham_20,356,nc_house_of_representatives_district_31
durham_21,429,nc_house_of_representatives_district_31
durham_22,1003,nc_house_of_representatives_district_31
durham_23,865,nc_house_of_representatives_district_31
durham_24,331,nc_house_of_representatives_district_31
durham_29,488,nc_house_of_representatives_district_31
durham_30-1,377,nc_house_of_representatives_district_31
durham_30-2,748,nc_house_of_representatives_district_31
durham_31,176,nc_house_of_representatives_district_31
durham_34-2,180,nc_house_of_representatives_district_31
durham_37,42,nc_house_of_representatives_district_31
durham_45,94,nc_house_of_representatives_district_31
durham_46,527,nc_house_of_representatives_district_31
durham_47,53,nc_house_of_representatives_district_31
durham_52,568,nc_house_of_representatives_district_31
