prec_id,Nathan Baskerville,Scott Bynum,election
granville_ANTI,497,27,nc_house_of_representatives_district_32
granville_CORI,460,162,nc_house_of_representatives_district_32
granville_CRDL,635,90,nc_house_of_representatives_district_32
granville_EAOX,905,139,nc_house_of_representatives_district_32
granville_OKHL,544,353,nc_house_of_representatives_district_32
granville_SALM,502,255,nc_house_of_representatives_district_32
granville_SASS,648,599,nc_house_of_representatives_district_32
granville_SOOX,962,196,nc_house_of_representatives_district_32
granville_WOEL,805,250,nc_house_of_representatives_district_32
vance_CC,894,866,nc_house_of_representatives_district_32
vance_EH1,1359,79,nc_house_of_representatives_district_32
vance_HTOP,421,137,nc_house_of_representatives_district_32
vance_KITT,1325,1152,nc_house_of_representatives_district_32
vance_MIDD,1301,642,nc_house_of_representatives_district_32
vance_NH,1638,797,nc_house_of_representatives_district_32
vance_NH1,1427,91,nc_house_of_representatives_district_32
vance_NV,725,242,nc_house_of_representatives_district_32
vance_SCRK,1671,935,nc_house_of_representatives_district_32
vance_SH1,1159,203,nc_house_of_representatives_district_32
vance_SH2,389,123,nc_house_of_representatives_district_32
vance_WH,1734,1047,nc_house_of_representatives_district_32
warren_001,318,394,nc_house_of_representatives_district_32
warren_002,259,321,nc_house_of_representatives_district_32
warren_003,476,220,nc_house_of_representatives_district_32
warren_004,397,155,nc_house_of_representatives_district_32
warren_005,740,135,nc_house_of_representatives_district_32
warren_006,692,160,nc_house_of_representatives_district_32
warren_007,471,122,nc_house_of_representatives_district_32
warren_008,802,74,nc_house_of_representatives_district_32
warren_009,282,133,nc_house_of_representatives_district_32
warren_010,1056,215,nc_house_of_representatives_district_32
warren_011,190,68,nc_house_of_representatives_district_32
warren_012,222,382,nc_house_of_representatives_district_32
warren_013,275,189,nc_house_of_representatives_district_32
warren_014,876,217,nc_house_of_representatives_district_32
