prec_id,Lori B. Millberg,Chris Malone,election
wake_44075,424,600,nc_house_of_representatives_district_35
wake_44077,396,513,nc_house_of_representatives_district_35
wake_44105,188,265,nc_house_of_representatives_district_35
wake_44106,647,486,nc_house_of_representatives_district_35
wake_13-06,159,158,nc_house_of_representatives_district_35
wake_13-10,995,1209,nc_house_of_representatives_district_35
wake_17-02,151,142,nc_house_of_representatives_district_35
wake_17-04,121,124,nc_house_of_representatives_district_35
wake_19-04,820,1027,nc_house_of_representatives_district_35
wake_19-07,432,404,nc_house_of_representatives_district_35
wake_19-09,548,844,nc_house_of_representatives_district_35
wake_19-10,864,1253,nc_house_of_representatives_district_35
wake_19-11,427,495,nc_house_of_representatives_district_35
wake_19-12,601,824,nc_house_of_representatives_district_35
wake_19-13,370,401,nc_house_of_representatives_district_35
wake_19-14,317,566,nc_house_of_representatives_district_35
wake_19-15,332,433,nc_house_of_representatives_district_35
wake_19-16,418,427,nc_house_of_representatives_district_35
