prec_id,Jason Ora Wunsch,Paul Stam,election
wake_36586,34,46,nc_house_of_representatives_district_37
wake_43986,301,334,nc_house_of_representatives_district_37
wake_43987,248,570,nc_house_of_representatives_district_37
wake_43988,477,734,nc_house_of_representatives_district_37
wake_43990,290,329,nc_house_of_representatives_district_37
wake_43991,330,534,nc_house_of_representatives_district_37
wake_43992,209,397,nc_house_of_representatives_district_37
wake_44166,480,911,nc_house_of_representatives_district_37
wake_44167,552,678,nc_house_of_representatives_district_37
wake_44169,411,874,nc_house_of_representatives_district_37
wake_44171,299,451,nc_house_of_representatives_district_37
wake_44173,536,561,nc_house_of_representatives_district_37
wake_44174,331,536,nc_house_of_representatives_district_37
wake_15-01,331,741,nc_house_of_representatives_district_37
wake_15-03,442,1139,nc_house_of_representatives_district_37
wake_20-03,330,477,nc_house_of_representatives_district_37
wake_20-06A,364,307,nc_house_of_representatives_district_37
wake_20-08,345,555,nc_house_of_representatives_district_37
