prec_id,Yvonne Lewis Holley,Shane Murphy,election
wake_43843,108,25,nc_house_of_representatives_district_38
wake_43844,65,25,nc_house_of_representatives_district_38
wake_43849,508,23,nc_house_of_representatives_district_38
wake_43858,818,106,nc_house_of_representatives_district_38
wake_12420,598,22,nc_house_of_representatives_district_38
wake_13881,68,14,nc_house_of_representatives_district_38
wake_14611,898,56,nc_house_of_representatives_district_38
wake_16072,182,39,nc_house_of_representatives_district_38
wake_16803,754,91,nc_house_of_representatives_district_38
wake_13-01,609,120,nc_house_of_representatives_district_38
wake_13-05,418,147,nc_house_of_representatives_district_38
wake_13-07,374,154,nc_house_of_representatives_district_38
wake_13-08,486,101,nc_house_of_representatives_district_38
wake_13-09,708,222,nc_house_of_representatives_district_38
wake_17-01,504,146,nc_house_of_representatives_district_38
wake_17-03,179,63,nc_house_of_representatives_district_38
wake_17-04,48,12,nc_house_of_representatives_district_38
wake_17-05,602,219,nc_house_of_representatives_district_38
wake_17-07,337,88,nc_house_of_representatives_district_38
wake_17-08,223,70,nc_house_of_representatives_district_38
wake_17-10,242,96,nc_house_of_representatives_district_38
wake_17-11,526,202,nc_house_of_representatives_district_38
