prec_id,William (Watt) Jones,Marilyn Avila,Ron Reale,election
wake_43863,588,1269,90,nc_house_of_representatives_district_40
wake_43864,341,812,54,nc_house_of_representatives_district_40
wake_43865,241,571,44,nc_house_of_representatives_district_40
wake_43956,1092,1048,113,nc_house_of_representatives_district_40
wake_43958,588,554,106,nc_house_of_representatives_district_40
wake_43959,317,265,59,nc_house_of_representatives_district_40
wake_44022,336,345,46,nc_house_of_representatives_district_40
wake_44045,336,522,49,nc_house_of_representatives_district_40
wake_44046,683,803,92,nc_house_of_representatives_district_40
wake_44047,239,484,32,nc_house_of_representatives_district_40
wake_44051,555,874,89,nc_house_of_representatives_district_40
wake_44053,79,165,15,nc_house_of_representatives_district_40
wake_44054,656,675,62,nc_house_of_representatives_district_40
wake_14-01,106,272,22,nc_house_of_representatives_district_40
wake_14-02,482,1440,106,nc_house_of_representatives_district_40
wake_19-03,360,696,75,nc_house_of_representatives_district_40
wake_19-05,275,846,45,nc_house_of_representatives_district_40
wake_19-15,1,3,2,nc_house_of_representatives_district_40
