prec_id,Elmer Floyd,Diana Carroll,election
cumberland_G6C,230,71,nc_house_of_representatives_district_43
cumberland_CC01,1159,140,nc_house_of_representatives_district_43
cumberland_G1A,1020,356,nc_house_of_representatives_district_43
cumberland_CC04,105,57,nc_house_of_representatives_district_43
cumberland_CC05,1196,123,nc_house_of_representatives_district_43
cumberland_CC06,73,31,nc_house_of_representatives_district_43
cumberland_CC08,111,53,nc_house_of_representatives_district_43
cumberland_G2A,1668,929,nc_house_of_representatives_district_43
cumberland_G3B,50,11,nc_house_of_representatives_district_43
cumberland_CC13,1590,71,nc_house_of_representatives_district_43
cumberland_CC14,26,16,nc_house_of_representatives_district_43
cumberland_CC15,8,0,nc_house_of_representatives_district_43
cumberland_CC16,1420,38,nc_house_of_representatives_district_43
cumberland_CC17,1465,190,nc_house_of_representatives_district_43
cumberland_CC19,595,20,nc_house_of_representatives_district_43
cumberland_CC21,1536,563,nc_house_of_representatives_district_43
cumberland_G2B,1604,993,nc_house_of_representatives_district_43
cumberland_G2C-1,816,668,nc_house_of_representatives_district_43
cumberland_G2C-2,742,845,nc_house_of_representatives_district_43
cumberland_EO61-1,449,697,nc_house_of_representatives_district_43
cumberland_EO61-2,501,558,nc_house_of_representatives_district_43
cumberland_G9B-2,191,67,nc_house_of_representatives_district_43
cumberland_G9A,456,338,nc_house_of_representatives_district_43
cumberland_G1B,1014,1347,nc_house_of_representatives_district_43
cumberland_LI65,11,9,nc_house_of_representatives_district_43
cumberland_G2D,469,314,nc_house_of_representatives_district_43
cumberland_G11B,54,41,nc_house_of_representatives_district_43
cumberland_G3A-1,1416,598,nc_house_of_representatives_district_43
cumberland_G3C,135,55,nc_house_of_representatives_district_43
cumberland_G2E-1,909,164,nc_house_of_representatives_district_43
cumberland_G2E-2,1278,264,nc_house_of_representatives_district_43
