prec_id,W. P. (Bill) Tatum,Michael (Mike) Stone,election
harnett_PR07,295,419,nc_house_of_representatives_district_51
harnett_PR16,759,771,nc_house_of_representatives_district_51
harnett_PR23,547,694,nc_house_of_representatives_district_51
harnett_PR28,501,1352,nc_house_of_representatives_district_51
lee_A1,206,191,nc_house_of_representatives_district_51
lee_A2,213,164,nc_house_of_representatives_district_51
lee_B1,156,246,nc_house_of_representatives_district_51
lee_B2,2,4,nc_house_of_representatives_district_51
lee_C1,328,414,nc_house_of_representatives_district_51
lee_C2,208,345,nc_house_of_representatives_district_51
lee_D1,397,438,nc_house_of_representatives_district_51
lee_D2,385,420,nc_house_of_representatives_district_51
lee_E1,325,419,nc_house_of_representatives_district_51
lee_E2,257,253,nc_house_of_representatives_district_51
lee_ACCUMULATED,0,0,nc_house_of_representatives_district_51
