prec_id,Deb McManus,Cathy Wright,election
chatham_3,200,411,nc_house_of_representatives_district_54
chatham_6,90,335,nc_house_of_representatives_district_54
chatham_9,171,319,nc_house_of_representatives_district_54
chatham_15,254,178,nc_house_of_representatives_district_54
chatham_18,302,470,nc_house_of_representatives_district_54
chatham_20,252,414,nc_house_of_representatives_district_54
chatham_21,217,273,nc_house_of_representatives_district_54
chatham_24,84,297,nc_house_of_representatives_district_54
chatham_30,156,219,nc_house_of_representatives_district_54
chatham_42,201,306,nc_house_of_representatives_district_54
chatham_45,151,197,nc_house_of_representatives_district_54
chatham_73,315,119,nc_house_of_representatives_district_54
chatham_75,303,451,nc_house_of_representatives_district_54
chatham_78,289,257,nc_house_of_representatives_district_54
chatham_85,219,234,nc_house_of_representatives_district_54
chatham_ESC114,367,283,nc_house_of_representatives_district_54
chatham_MCH110,413,249,nc_house_of_representatives_district_54
chatham_NWM117,232,248,nc_house_of_representatives_district_54
chatham_PIT113,503,430,nc_house_of_representatives_district_54
lee_A1,173,132,nc_house_of_representatives_district_54
lee_A2,305,56,nc_house_of_representatives_district_54
lee_B1,57,106,nc_house_of_representatives_district_54
lee_B2,191,238,nc_house_of_representatives_district_54
lee_E2,11,2,nc_house_of_representatives_district_54
lee_ACCUMULATED,0,0,nc_house_of_representatives_district_54
