prec_id,Dale Nelson,Mark Brody,election
anson_ANS,473,261,nc_house_of_representatives_district_55
anson_BURN,331,521,nc_house_of_representatives_district_55
anson_GULL,590,177,nc_house_of_representatives_district_55
anson_LILE,1243,389,nc_house_of_representatives_district_55
anson_MM,799,128,nc_house_of_representatives_district_55
anson_PEAC,337,485,nc_house_of_representatives_district_55
anson_POLK,437,228,nc_house_of_representatives_district_55
anson_W1,1376,320,nc_house_of_representatives_district_55
anson_W2,914,216,nc_house_of_representatives_district_55
anson_W3,1158,419,nc_house_of_representatives_district_55
anson_WS,116,77,nc_house_of_representatives_district_55
union_007,793,1264,nc_house_of_representatives_district_55
union_009,737,276,nc_house_of_representatives_district_55
union_011,311,1296,nc_house_of_representatives_district_55
union_012,245,1320,nc_house_of_representatives_district_55
union_019,223,309,nc_house_of_representatives_district_55
union_021,354,1165,nc_house_of_representatives_district_55
union_022,270,1429,nc_house_of_representatives_district_55
union_023,421,887,nc_house_of_representatives_district_55
union_024,358,1124,nc_house_of_representatives_district_55
union_025,403,848,nc_house_of_representatives_district_55
union_026,359,833,nc_house_of_representatives_district_55
union_027,391,810,nc_house_of_representatives_district_55
union_032,208,773,nc_house_of_representatives_district_55
union_033,513,1123,nc_house_of_representatives_district_55
union_034,677,1457,nc_house_of_representatives_district_55
union_036,503,827,nc_house_of_representatives_district_55
union_CURBSIDE,0,0,nc_house_of_representatives_district_55
