prec_id,Alma Adams,Olga Morgan Wright,election
guilford_FEN1,1784,397,nc_house_of_representatives_district_58
guilford_G12,443,103,nc_house_of_representatives_district_58
guilford_G14,489,257,nc_house_of_representatives_district_58
guilford_G15,525,259,nc_house_of_representatives_district_58
guilford_G16,549,606,nc_house_of_representatives_district_58
guilford_G17,654,647,nc_house_of_representatives_district_58
guilford_G18,374,604,nc_house_of_representatives_district_58
guilford_G20,163,180,nc_house_of_representatives_district_58
guilford_G33,571,775,nc_house_of_representatives_district_58
guilford_G34,664,763,nc_house_of_representatives_district_58
guilford_G35,522,433,nc_house_of_representatives_district_58
guilford_G36,531,524,nc_house_of_representatives_district_58
guilford_G44,1001,203,nc_house_of_representatives_district_58
guilford_G45,1795,340,nc_house_of_representatives_district_58
guilford_G46,1854,43,nc_house_of_representatives_district_58
guilford_G47,1128,248,nc_house_of_representatives_district_58
guilford_G48,872,203,nc_house_of_representatives_district_58
guilford_G50,589,166,nc_house_of_representatives_district_58
guilford_G51,899,354,nc_house_of_representatives_district_58
guilford_G52,1420,114,nc_house_of_representatives_district_58
guilford_G53,1942,137,nc_house_of_representatives_district_58
guilford_G54,1667,143,nc_house_of_representatives_district_58
guilford_G69,1673,118,nc_house_of_representatives_district_58
guilford_G70,1915,20,nc_house_of_representatives_district_58
guilford_G71,1689,27,nc_house_of_representatives_district_58
guilford_G73,1223,22,nc_house_of_representatives_district_58
guilford_G74,1713,38,nc_house_of_representatives_district_58
guilford_G75,1204,75,nc_house_of_representatives_district_58
guilford_JEF3,2270,365,nc_house_of_representatives_district_58
guilford_JEF4,14,40,nc_house_of_representatives_district_58
guilford_SUM2,613,64,nc_house_of_representatives_district_58
guilford_CURBSIDE,94,14,nc_house_of_representatives_district_58
