prec_id,Jon Hardister,election
guilford_CG1,995,nc_house_of_representatives_district_59
guilford_CG2,1029,nc_house_of_representatives_district_59
guilford_CG3A,890,nc_house_of_representatives_district_59
guilford_CG3B,1117,nc_house_of_representatives_district_59
guilford_FEN1,375,nc_house_of_representatives_district_59
guilford_FEN2,1131,nc_house_of_representatives_district_59
guilford_G20,25,nc_house_of_representatives_district_59
guilford_G23,336,nc_house_of_representatives_district_59
guilford_G25,819,nc_house_of_representatives_district_59
guilford_G27,1501,nc_house_of_representatives_district_59
guilford_G28,533,nc_house_of_representatives_district_59
guilford_G29,683,nc_house_of_representatives_district_59
guilford_G30,887,nc_house_of_representatives_district_59
guilford_G31,714,nc_house_of_representatives_district_59
guilford_G32,1355,nc_house_of_representatives_district_59
guilford_GIB,1069,nc_house_of_representatives_district_59
guilford_GR,1399,nc_house_of_representatives_district_59
guilford_JEF1,1177,nc_house_of_representatives_district_59
guilford_JEF2,367,nc_house_of_representatives_district_59
guilford_JEF3,42,nc_house_of_representatives_district_59
guilford_JEF4,453,nc_house_of_representatives_district_59
guilford_MON1,183,nc_house_of_representatives_district_59
guilford_MON3,2027,nc_house_of_representatives_district_59
guilford_NCGR1,1816,nc_house_of_representatives_district_59
guilford_NCGR2,1135,nc_house_of_representatives_district_59
guilford_NCLAY1,1361,nc_house_of_representatives_district_59
guilford_NCLAY2,845,nc_house_of_representatives_district_59
guilford_NMAD,942,nc_house_of_representatives_district_59
guilford_NWASH,788,nc_house_of_representatives_district_59
guilford_PG1,883,nc_house_of_representatives_district_59
guilford_RC1,1231,nc_house_of_representatives_district_59
guilford_RC2,1725,nc_house_of_representatives_district_59
guilford_SCLAY,1244,nc_house_of_representatives_district_59
guilford_SMAD,1240,nc_house_of_representatives_district_59
guilford_SWASH,503,nc_house_of_representatives_district_59
guilford_CURBSIDE,28,nc_house_of_representatives_district_59
